1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
A1CF,1.451211929321289,1.483567476272583,1.4574123620986938,1.4375486373901367,1.4639556407928467,1.451486587524414,1.470165729522705,1.4641857147216797,1.4475796222686768,1.4677774906158447,1.4866969585418701,1.5013463497161865,1.4638855457305908,1.444018840789795,1.4790337085723877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2M,6.537020683288574,6.540932655334473,6.533971309661865,6.52622652053833,6.534428596496582,6.527031898498535,6.5344319343566895,6.542336463928223,6.51075553894043,6.533638000488281,6.528688430786133,6.527863502502441,6.519569396972656,6.537363529205322,6.523466110229492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2M-AS1,1.4747722148895264,1.4865775108337402,1.497102975845337,1.4876627922058105,1.5752243995666504,1.4950860738754272,1.5032445192337036,1.4995465278625488,1.5141208171844482,1.497265100479126,1.504616141319275,1.5169645547866821,1.5287907123565674,1.4968717098236084,1.485951542854309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4GALT,4.267283916473389,4.284867286682129,4.2668070793151855,4.25698184967041,4.273393630981445,4.263223648071289,4.272494316101074,4.25026798248291,4.280071258544922,4.2731122970581055,4.276773452758789,4.260167121887207,4.293067932128906,4.271246910095215,4.265872955322266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAAS,2.597888469696045,2.58184814453125,2.5918121337890625,2.597205638885498,2.5803890228271484,2.5938243865966797,2.6169657707214355,2.5883281230926514,2.6030220985412598,2.5936107635498047,2.60410213470459,2.590127944946289,2.595264196395874,2.5934669971466064,2.5870935916900635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAED1,9.723085403442383,9.714759826660156,9.741002082824707,9.702204704284668,9.698101997375488,9.714086532592773,9.712210655212402,9.700888633728027,9.704237937927246,9.708847045898438,9.701004028320312,9.693402290344238,9.712617874145508,9.717209815979004,9.707727432250977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAGAB,6.412631988525391,6.407345294952393,6.421252250671387,6.388806343078613,6.3929033279418945,6.40475606918335,6.401544094085693,6.398684978485107,6.394275188446045,6.4176459312438965,6.376791954040527,6.390058517456055,6.39669942855835,6.417148113250732,6.394345283508301,14.614946365356445,14.592962265014648,14.606311798095703,14.621591567993164,14.631433486938477,14.614154815673828,14.619083404541016,14.621530532836914,14.617412567138672,14.599132537841797,14.613972663879395,14.611567497253418,14.617765426635742,14.608614921569824,14.61992073059082,14.560200691223145,14.613481521606445,14.611305236816406,14.565443992614746,14.602300643920898,14.63275146484375,14.611346244812012,14.6422119140625,14.59467887878418,14.631223678588867,14.605640411376953,14.598464012145996,14.597444534301758,14.621478080749512,14.64031982421875,14.616373062133789,14.62906265258789,14.586254119873047,14.589128494262695,14.605645179748535,14.613138198852539,14.596271514892578,14.597415924072266,14.602940559387207,14.599003791809082,14.610243797302246
AAMDC,7.587865352630615,7.577106475830078,7.592619895935059,7.573794364929199,7.5813984870910645,7.597809791564941,7.568576812744141,7.5628662109375,7.539797306060791,7.601851463317871,7.566514015197754,7.558026313781738,7.5887227058410645,7.591063499450684,7.581187725067139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AASS,0.253478080034256,0.27738991379737854,0.27878791093826294,0.2833399176597595,0.27425065636634827,0.25513511896133423,0.26144516468048096,0.25078997015953064,0.27962225675582886,0.2533508837223053,0.2737104296684265,0.26137930154800415,0.2579058110713959,0.27775809168815613,0.26128801703453064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABAT,1.522578477859497,1.5388867855072021,1.5389034748077393,1.536433458328247,1.5529381036758423,1.51865816116333,1.545967698097229,1.514459252357483,1.5306683778762817,1.5367681980133057,1.539074420928955,1.521037220954895,1.5235698223114014,1.5389044284820557,1.5318363904953003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
