1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
A1CF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2M,5.668262481689453,5.672954559326172,5.665971755981445,5.664862632751465,5.668795585632324,5.664053916931152,5.670511722564697,5.6745429039001465,5.654631614685059,5.672663688659668,5.662777423858643,5.665790557861328,5.664501190185547,5.6765594482421875,5.664615631103516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2M-AS1,0.6526331305503845,0.6061545610427856,0.6198685169219971,0.7464558482170105,0.6596013903617859,0.6749484539031982,0.6074510216712952,0.6792742013931274,0.6816086173057556,0.6602492928504944,0.6630264520645142,0.6524925231933594,0.6436899900436401,0.6696259379386902,0.6910920739173889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4GALT,2.0997982025146484,2.1070971488952637,2.1002798080444336,2.0915589332580566,2.1006932258605957,2.0919482707977295,2.100494861602783,2.082396984100342,2.1090919971466064,2.0985376834869385,2.1034717559814453,2.0899853706359863,2.117123603820801,2.0921595096588135,2.0961732864379883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAAS,2.64847993850708,2.6397006511688232,2.6467361450195312,2.651930809020996,2.639765739440918,2.650137186050415,2.6641006469726562,2.6415293216705322,2.6547698974609375,2.649393081665039,2.653088331222534,2.6466877460479736,2.6533708572387695,2.64845609664917,2.641627311706543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAED1,6.657862186431885,6.662624359130859,6.668659687042236,6.678656578063965,6.672474384307861,6.689538955688477,6.658760070800781,6.6659626960754395,6.6533203125,6.685189723968506,6.678073406219482,6.668027877807617,6.692224025726318,6.683818340301514,6.686953067779541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAGAB,3.7951619625091553,3.793649911880493,3.801771879196167,3.778982400894165,3.7819137573242188,3.7906932830810547,3.788639783859253,3.790658473968506,3.785212516784668,3.7984249591827393,3.772608518600464,3.7810840606689453,3.790196180343628,3.7967123985290527,3.804168224334717,12.301385879516602,12.289741516113281,12.29185962677002,12.312189102172852,12.306793212890625,12.296097755432129,12.307598114013672,12.297586441040039,12.302552223205566,12.292458534240723,12.301336288452148,12.303914070129395,12.305752754211426,12.293288230895996,12.297332763671875,12.262990951538086,12.292217254638672,12.299799919128418,12.259846687316895,12.288684844970703,12.309240341186523,12.295614242553711,12.30598258972168,12.288566589355469,12.319649696350098,12.295097351074219,12.291223526000977,12.288064002990723,12.30724048614502,12.311178207397461,12.298745155334473,12.305913925170898,12.27587604522705,12.275764465332031,12.298049926757812,12.294337272644043,12.284137725830078,12.292797088623047,12.284782409667969,12.284561157226562,12.296745300292969
AAMDC,4.622265815734863,4.613936424255371,4.626338958740234,4.611523151397705,4.619771957397461,4.629245758056641,4.610758304595947,4.608716011047363,4.590301513671875,4.635624885559082,4.609018802642822,4.604915142059326,4.628552436828613,4.625492095947266,4.617578029632568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AASS,0.6528107523918152,0.6715383529663086,0.670157790184021,0.6755281686782837,0.6684548854827881,0.6517084836959839,0.6652215123176575,0.6573173999786377,0.6577034592628479,0.6557666659355164,0.6691997051239014,0.6588149666786194,0.6555781960487366,0.6685922741889954,0.6629501581192017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABAT,1.6742920875549316,1.6876871585845947,1.6938753128051758,1.6953091621398926,1.7007291316986084,1.6782996654510498,1.692028284072876,1.6796104907989502,1.690669298171997,1.6833655834197998,1.6878201961517334,1.6754937171936035,1.679202914237976,1.6873762607574463,1.6863890886306763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
