,logFC,AveExpr,t,P.Value,adj.P.Val,B
CLCA1,3.29437227,0.882421144,150.5657966,1.93E-73,5.04E-73,156.6278501
SPINK5,3.271161857,0.876204069,166.9274484,6.82E-76,1.85E-75,162.3712608
ALG3,3.233725574,0.866176493,585.1876439,9.81E-106,3.69E-105,232.2013027
SYT13,3.153691473,0.844738787,672.0227841,4.99E-109,1.92E-108,239.8757784
CES3,3.150638446,0.843921012,350.333536,1.59E-93,5.57E-93,203.6674592
KLHL28,3.140329745,0.841159753,441.6368808,4.90E-99,1.78E-98,216.5590456
B3GNT6,3.137984022,0.840531435,234.4528226,5.73E-84,1.77E-83,181.2938069
OLFM4,3.126556875,0.837470592,761.6690451,5.21E-112,2.06E-111,246.8088066
EME1,3.117249371,0.83497751,217.1583708,3.80E-82,1.14E-81,177.0245609
SLC3A1,3.110798095,0.83324949,247.0802381,3.24E-85,1.02E-84,184.2165711
HMGCS2,3.100574584,0.830511049,332.9520799,2.59E-92,8.94E-92,200.8335219
CLDN6,3.098792929,0.83003382,388.5865642,5.45E-96,1.94E-95,209.437308
TOX3,3.093552193,0.828630052,574.4042194,2.72E-105,1.02E-104,231.1687345
CWH43,3.087544666,0.827020893,194.914359,1.41E-79,4.07E-79,171.0042188
NMU,3.062606401,0.820341,269.2533131,2.92E-87,9.49E-87,189.0046629
HSD11B2,3.061623148,0.820077629,284.9860825,1.30E-88,4.30E-88,192.1684173
GDPD3,3.050036849,0.816974156,393.7466706,2.64E-96,9.43E-96,210.1716312
SLITRK6,3.047607846,0.81632353,165.8405856,9.75E-76,2.64E-75,162.0075145
ELAVL3,3.045700843,0.815812726,279.7089983,3.63E-88,1.19E-87,191.127149
KLK12,3.042572331,0.814974732,302.4832591,4.98E-90,1.67E-89,195.487813
LAMA1,3.038767375,0.816038144,150.5494682,1.94E-73,5.06E-73,156.6218131
C4BPA,3.035087474,0.812969859,379.7101495,1.93E-95,6.85E-95,208.150916
SLC6A2,3.027188166,0.810853973,323.861778,1.18E-91,4.04E-91,199.2917505
CDS1,3.022717323,0.809656426,518.3585795,7.55E-103,2.80E-102,225.4657834
SH3RF2,3.018241021,0.808457416,354.9112538,7.83E-94,2.74E-93,204.3903764
ISL1,3.014564977,0.807472762,181.2215865,7.61E-78,2.14E-77,166.9469361
PTPRH,3.012798723,0.806999658,331.4947041,3.29E-92,1.14E-91,200.5892035
NOS2,3.011778943,0.806726503,222.2978751,1.06E-82,3.19E-82,178.3277733
HAGLR,3.006996197,0.80544541,197.1751256,7.51E-80,2.18E-79,171.6466198
