"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MALAT1",4.69676260281163,1.2580614114674,27642.078540236,1.3595010161685e-202,9.38191651257881e-199,452.859065969975
"B2M",4.54590371123848,1.21765277979602,19998.1498685549,1.12875637404967e-194,2.99597989896799e-192,436.221727212186
"RPS27A",4.35233266531069,1.16580339249393,23372.504935107,1.7299957752574e-198,2.14447822584659e-195,444.373420498905
"LGALS1",4.32229811333899,1.1577584232158,17110.8464072252,7.36745859122746e-191,6.68984628132378e-189,427.872720827731
"RPL15",4.31339263235302,1.15537302652313,24475.7347428122,1.28731700820632e-199,2.96125822454394e-196,446.738839534292
"RPL7",4.31085786657919,1.15469407140513,16905.1045067608,1.45635090715282e-190,1.22564361100752e-188,427.218183398559
"RPS24",4.29767817422716,1.15116379666799,17506.1999502204,2.03460886941385e-191,2.19388059497265e-189,429.10620776679
"VIM",4.29365861819434,1.15008712987348,21724.0314590697,1.06518747676872e-196,6.12571564765076e-194,440.577432697887
"CD74",4.270142666756,1.14378821430964,24695.7753992108,7.77546754129614e-200,2.68292507512423e-196,447.195140224628
"RPS11",4.26142082951621,1.14145200790613,13199.7359941835,1.64550837770666e-184,3.0690954904199e-183,413.662126154236
"TPSAB1",4.25118443059385,1.13871011533764,22581.2953791817,1.20384737109467e-197,9.23083411991589e-195,442.592647459255
"PFN1",4.2454479461564,1.13717355700618,16463.0677565251,6.47865914940697e-190,4.80744374086639e-188,425.781489836776
"CXCL8",4.22999517301057,1.13303442134211,16911.8724142999,1.42388071853794e-190,1.21311121464572e-188,427.239855116758
"JUN",4.22319047164473,1.13121173347626,18412.4400750157,1.18497989897057e-192,1.81723250728798e-190,431.819593768606
"SRGN",4.22085472486358,1.13058608701703,22467.5069392301,1.60015582846671e-197,1.10426753722487e-194,442.330424778814
"NFKBIA",4.21619685687813,1.12933844380664,17037.0464211102,9.39860930693632e-191,8.31535933681635e-189,427.638949104903
"HLA-DRA",4.20076571127439,1.1252051012342,17671.5699101479,1.19801663278668e-191,1.35532996440342e-189,429.612949589691
"SOD2",4.16192071391888,1.11480019122827,18113.1655657463,2.98281389377106e-192,4.11687973618282e-190,430.940469308245
"HSPB1",4.14882637147195,1.11129277807284,16033.0615018342,2.877291718997e-189,1.8385361252591e-187,424.342366858971
"S100A4",4.14761566514022,1.11096848173398,18732.0458451688,4.49461211602663e-193,7.85775971272025e-191,432.740777472762
"HSPA6",4.14237367545381,1.1095643773537,20152.620084423,7.31737297707625e-195,2.01988763659213e-192,436.629052871973
"DUSP1",4.13834269840075,1.10848465135734,22907.2273323193,5.37005325548483e-198,4.6323421895126e-195,443.335123390719
"S100A11",4.13652000771974,1.10799643063922,16826.9237324486,1.89090682431149e-190,1.53519388171454e-188,426.967137418025
"HSP90AB1",4.11794885300573,1.10302201419797,17195.2247132485,5.58433987666055e-191,5.2077742552479e-189,428.138628719859
"APOE",4.10445612328306,1.0994078901651,18221.3989092828,2.13242964278559e-192,3.06581186767986e-190,431.26028626145
"SUB1",4.09561741470471,1.09704037893876,13967.2416836539,6.81719111943502e-186,1.72961161453019e-184,416.783792302337
"ITM2B",4.08783229851545,1.09495507995949,21481.9995338476,2.00226909530716e-196,9.21177268447645e-194,439.991437971462
"IGHM",4.08361732864188,1.09382607017193,21024.5417199938,6.73169592276149e-196,2.73267256252806e-193,438.862423633702
"SPP1",4.08023420051502,1.09291987513794,14437.1616514427,1.05693160915381e-186,3.13042276170404e-185,418.605279708293
"NPC2",4.07880595137994,1.09253730840534,17275.5647057626,4.29470423675644e-191,4.17433154054312e-189,428.390461941548
"ANXA1",4.07433628662068,1.09134007677339,17438.2101496911,2.53326696437575e-191,2.60926497330702e-189,428.896310947207
"HNRNPA1",4.07130124910767,1.0905271202967,13056.587901394,3.04133013553087e-184,5.34051380796401e-183,413.058411867435
"GSTP1",4.07080496918138,1.09039418817358,14836.6580579578,2.271280509267e-187,7.91621555275332e-186,420.104041793389
"NPM1",4.0669487137617,1.08936126261474,16519.443616886,5.34381750548209e-190,4.09752051170355e-188,425.967083297557
"RGS1",4.06494736508238,1.08882518707564,14730.4166895092,3.4047595970351e-187,1.14059446500676e-185,419.709776369148
"ISG15",4.04952860479062,1.08469516199748,10005.7014981059,9.86394661669701e-178,6.07777639302018e-177,398.204431170932
"PPP1R15A",4.04628384128277,1.08382602891502,18899.0907651785,2.72579063546858e-193,5.00329753718022e-191,433.215176866419
"RGS2",4.04503182678327,1.08349066788837,17661.8407601274,1.235764480995e-191,1.37548559408814e-189,429.583283955045
