"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"IGKC",4.13314298757182,1.10709187167102,6112.48283676089,4.17888684059523e-162,8.05547732935691e-159,346.783348686666
"RPL37A",4.11509246159525,1.10225690935587,6032.91201380701,8.59216793926153e-162,1.28745044401895e-158,346.39394532055
"RPL36",4.06504831179862,1.08885222637463,6109.28730847042,4.300842140607e-162,8.05547732935691e-159,346.767900162752
"BTG1",4.00658537571358,1.07319251135184,6128.3606529482,3.62312326311699e-162,8.05547732935691e-159,346.859876242201
"JUNB",3.9920149828874,1.06928972755913,6236.40415640122,1.38535848829571e-162,8.05547732935691e-159,347.370515281699
"YBX1",3.98724954627562,1.06801327132383,5909.36362111971,2.68185972889104e-161,3.34874884814194e-158,345.769285180364
"ENO1",3.88693968235258,1.04114455777301,5170.5141336512,4.16282161693787e-158,8.1537544670883e-156,341.453420098355
"GUK1",3.87159463777417,1.03703427797522,5517.11417631689,1.17302955442425e-159,5.49271088859156e-157,343.610816896132
"HMGB2",3.85573881895023,1.03278718364738,5751.13597103811,1.19355062199714e-160,9.93564584444729e-158,344.931906077803
"PKM",3.85220683868318,1.03184111750442,5326.22347291054,8.13862143305557e-159,1.90545474301414e-156,342.454086498388
"HLA-DPA1",3.84973383485608,1.03117870576502,5776.64152666642,9.35672767881964e-161,8.76257547121459e-158,345.069825593779
"NFKBIA",3.80590374864895,1.26929775555816,264.063109869779,4.71360649798164e-87,3.25178083636082e-86,188.702599649069
"ARPC1B",3.80531986572316,1.01928210689013,5351.28612198549,6.28633559999448e-159,1.62404228672961e-156,342.610243281166
"CCL20",3.80227403839959,1.0184662602856,5168.68854137695,4.24447976797175e-158,8.1537544670883e-156,341.441368081353
"ARPC5",3.78903962424128,1.01492132792177,5430.00449968693,2.81529946708967e-159,1.06480786713892e-156,343.092182365169
"PPDPF",3.7795763505217,1.01238652246117,4888.99035528545,9.05577088794104e-157,8.07688517767312e-155,339.501537476319
"CCNL1",3.76787593835971,1.0092524834892,5872.28594351664,3.79145937161349e-161,4.05794480173261e-158,345.576909252961
"COL1A1",3.76484214463433,1.00843986016991,4517.15518774074,7.02650915238018e-155,3.35303226558168e-153,336.60574497816
"C1QA",3.76003614575474,1.00715253904145,4765.4887938728,3.69980514549676e-156,2.61398169677327e-154,338.582312386078
"C19orf53",3.75773306721227,1.00653564300329,5367.70528336941,5.31138261909044e-159,1.47381031786021e-156,342.71182816418
"FUS",3.74867871646589,1.00411037048194,5380.68510719532,4.65057936211815e-159,1.39368562323957e-156,342.79173519254
"SOD2",3.74759549649763,1.25488459990753,300.702296808846,3.72663860892752e-90,2.71067732602767e-89,195.96118092093
"POLR2L",3.73681606508293,1.00093287457578,5520.86962902313,1.12993240298326e-159,5.49271088859156e-157,343.63283759252
"SNRPB",3.73056444541275,0.999258333592696,5339.14516736007,7.12297773172997e-159,1.77884497220403e-156,342.534763040839
"PRDX5",3.72816423884295,0.998615421118643,4269.82622050508,1.55593745366516e-153,5.52468407718455e-152,334.449725669384
"APRT",3.7151640287608,0.995133221989499,5419.6565154889,3.12677163334975e-159,1.06480786713892e-156,343.02955752781
"SHFM1",3.71193540087036,0.994268410947416,4709.9659376229,7.04954720067931e-156,4.47586505317706e-154,338.155659498027
"YWHAE",3.70403335595251,0.992151791772989,5558.16686278476,7.80187446333119e-160,4.87097028993978e-157,343.85004381887
"FTH1",3.70372670838425,0.992069654031489,5527.18245507744,1.06108601835021e-159,5.49271088859156e-157,343.66979165109
"LRRFIP1",3.6890288759151,0.988132734620111,5308.47009233693,9.77947492240405e-159,2.22023715511064e-156,342.34266396474
"H2AFY",3.6615169237577,0.980763461720815,5595.82444418143,5.3812446449558e-160,4.03162848800089e-157,344.066628029248
"CTSG",3.66018074921722,0.980405557826037,5370.00203036559,5.18785073908725e-159,1.47381031786021e-156,342.725993083492
"ATF3",3.65901244264977,0.980092618566904,5357.85329575261,5.87620379039508e-159,1.57230424277286e-156,342.650942029477
"TAPBP",3.65822070217194,0.979880545224623,5573.12163175186,6.72985631339295e-160,4.58364395454e-157,343.936379696017
"CD83",3.65633635236986,0.979375808670496,5226.55573032448,2.30059392639406e-158,4.92458562758408e-156,341.819731664567
"DDX21",3.65440913224324,0.978859588993719,5410.02684210774,3.44812167936742e-159,1.12318815747046e-156,342.971083291792
"IL1B",3.64829707195779,0.977222429988689,4450.01680045058,1.60135547772947e-154,7.05726778773482e-153,336.039907748171
"UBE2L6",3.63299117627175,0.973122636501357,5428.10696090857,2.86995229161767e-159,1.06480786713892e-156,343.080715013485
"CRELD2",3.61808793035453,0.969130695630673,5539.31786628404,9.40490758608477e-160,5.42012058730362e-157,343.740611566295
"RAB2A",3.61583043149786,0.968526008436925,4922.46210442315,6.22186322419049e-157,5.90053155387786e-155,339.743811454652
"LSM5",3.61043376552156,0.967080472907559,5129.13694969352,6.47650635433603e-158,1.13462753373332e-155,341.17838786164
"CD74",3.59624807863901,1.47811457538782,271.186111059785,1.0912761703998e-87,7.64097296134144e-87,190.189725066559
"CLEC2B",3.58408867932625,0.960023753390955,5335.82599168394,7.37085943085609e-159,1.78137028567657e-156,342.514073558864
"PRRC2C",3.56942187510433,0.956095145117225,4797.69233930805,2.55433890690991e-156,1.95900924691656e-154,338.825913679253
"KMT2E",3.56492040840751,0.954889395109146,5389.00732778674,4.27154154349716e-159,1.3334328851617e-156,342.842784583674
"GSN",3.56484281495784,0.954868611149421,5128.62531420274,6.51214414716133e-158,1.13462753373332e-155,341.174962380617
"TWISTNB",3.56201667841508,0.954111610289754,5106.01073000927,8.30426927800882e-158,1.38249373157236e-155,341.022946621605
"FKBP8",3.56126213617915,0.953909500762271,4814.4057132507,2.10958861694902e-156,1.68138701257256e-154,338.951241370448
"IFRD1",3.55350346885441,0.951831286300287,5055.90197639811,1.42860622585177e-157,1.98205886001508e-155,340.681835807464
"WSB1",3.5506433217074,0.951065175457339,5181.22147944212,3.71505716150953e-158,7.73144673723039e-156,341.523954431905
"LSM4",3.54936214387118,0.950722002822634,4610.42641261614,2.28280372838355e-155,1.23933083572823e-153,337.369070599335
"CSNK1A1",3.54796482299982,0.950347720446378,5030.26986341559,1.88946533138609e-157,2.48195927932996e-155,340.505035025175
"RSL1D1",3.54776619444328,0.950294516368733,5028.73599858066,1.92143136947594e-157,2.48195927932996e-155,340.494404797417
"SRP19",3.54403719734837,0.949295677861173,5438.62075901707,2.58015384137366e-159,1.06480786713892e-156,343.144160739168
"BRI3",3.5426505756773,0.948924261342128,5008.18177212762,2.40698658042397e-157,2.90857152589296e-155,340.351405921825
"MRPL52",3.54076879694277,0.94842021346681,5101.98105383687,8.67287845487196e-158,1.38249373157236e-155,340.995733829142
"FBL",3.53801403089272,0.947682329703408,5084.77624751285,1.0443890230941e-157,1.5382204431664e-155,340.879119310271
"S100A8",3.53180623042329,0.946019526006234,4931.00177449372,5.6560124279234e-157,5.43267245000027e-155,339.805166278306
"KDM6B",3.52711310853745,0.944762439786818,5102.43302815642,8.63071841330135e-158,1.38249373157236e-155,340.998787948427
"PPP2R5C",3.51508005644106,0.941539300832421,4989.78530754331,2.94707749308748e-157,3.34537948154718e-155,340.222544404206
"UQCRC1",3.5108728032747,0.940412358020011,5003.94211050047,2.52177661836263e-157,2.99891276583696e-155,340.321781929056
"CASP4",3.50921719614868,0.939968891825536,5455.56606009598,2.17432784583321e-159,9.58239071822494e-157,343.245946320644
"UQCRC2",3.50818758289904,0.939693102562238,4336.01745067975,6.67547233699965e-154,2.50063193744007e-152,335.046331166642
"DUSP5",3.50442875744463,0.938686274315519,5423.90417070812,2.99487957308505e-159,1.06480786713892e-156,343.055290279932
"AHNAK",3.50113191195345,0.937803190701815,5086.36554058091,1.02658825543829e-157,1.5382204431664e-155,340.88992078277
"UGP2",3.48846334667086,0.934409825001124,4883.90151574381,9.58970814617273e-157,8.45248158013248e-155,339.464452068257
"GNLY",3.48769480944064,0.934203966814451,3983.73079644701,7.06149171787708e-152,1.88945342679768e-150,331.691275246873
"CYTIP",3.48508687547866,0.933505413074635,5084.53602635174,1.04710681528946e-157,1.5382204431664e-155,340.87748615237
