,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,group
RP11-34P13.7,0.00230345658276857,0.00951569250079735,1.73580715914892,0.00548199864866497,0.995626019823933,0.999999101432458,NOT_CHANGE
AL627309.1,0.0118282639247964,-0.0141586606031634,0.572486141999351,-0.0247318835591648,0.980268823450922,0.999999101432458,NOT_CHANGE
AP006222.2,0.0993525880736901,-0.0269274163896912,0.122676072392826,-0.2195001507993,0.826260462407639,0.999999101432458,NOT_CHANGE
RP11-206L10.3,0.00447439152216016,0.00473582791073923,1.1013859033537,0.00429988062886833,0.996569202204922,0.999999101432458,NOT_CHANGE
RP11-206L10.9,0.0224550455065962,0.0164489062617018,0.353819989770314,0.0464894769579859,0.962920121190288,0.999999101432458,NOT_CHANGE
NCRNA00115,0.0269423108863309,-0.0589616729450065,0.325289742676666,-0.181258936909098,0.856164335690335,0.999999101432458,NOT_CHANGE
FAM41C,0.0179239168101465,0.0220934867915368,0.408502258867609,0.0540841239232832,0.956868141007323,0.999999101432458,NOT_CHANGE
RP11-54O7.16,0.000158841695911262,0.0105385495753991,3.1815404699801,0.00331240469038103,0.99735708827143,NA,NOT_CHANGE
RP11-54O7.1,0.00781514980223403,0.0484032304790754,0.739581092340009,0.0654468198016383,0.947818247146802,0.999999101432458,NOT_CHANGE
RP11-54O7.2,0.000156160465374217,0.0100936898389203,3.18154047000155,0.00317257942625367,0.997468652104318,NA,NOT_CHANGE
RP11-54O7.3,0.00037346569623532,0.0109834093119164,3.18154046995866,0.00345222995452235,0.997245524490203,NA,NOT_CHANGE
SAMD11,0.00246478751444755,0.0180471700770586,1.58045086405188,0.0114190010506181,0.990889153361676,0.999999101432458,NOT_CHANGE
NOC2L,0.619608610585921,0.510349304859629,0.0607705328399094,8.39797317894292,4.54250913238856e-17,5.85094550243376e-16,NOT_CHANGE
KLHL17,0.0211185532037791,0.0412649188038668,0.360908690654436,0.114336173864478,0.908971307914334,0.999999101432458,NOT_CHANGE
PLEKHN1,0.039787987940093,0.111592569336081,0.253597128749771,0.440038772860838,0.659909025549932,0.999999101432458,NOT_CHANGE
PERM1,0.000430452117671124,0.011873128783656,3.18154046991579,0.00373188048240362,0.997022397091809,NA,NOT_CHANGE
RP11-54O7.17,0.00750213096783838,0.0428974949100863,0.705875480724218,0.0607720427773948,0.951540755786501,0.999999101432458,NOT_CHANGE
HES4,0.34061541192555,0.635635428999628,0.0796867699411488,7.97667454044209,1.50328531692905e-15,1.801811571928e-14,NOT_CHANGE
ISG15,7.36799777545045,2.89898571286183,0.0597735927811703,48.499438932422,0,0,UP
RP11-54O7.11,0.000101754547375224,0.00964883010299316,3.181540470023,0.00303275416230157,0.997580215986556,NA,NOT_CHANGE
