,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,group
RP11-34P13.7,0.00170857345579639,0.0354725533432997,3.64882372991003,0.00972164071739752,0.992243375146263,NA,NOT_CHANGE
AL627309.1,0.0027626978051906,0.0251309020672634,3.64882372991003,0.00688739822131203,0.994504694741265,NA,NOT_CHANGE
AP006222.2,0.273502542127322,-0.569059717160436,0.208434190446932,-2.73016493090811,0.00633026468240208,0.0223195519698587,NOT_CHANGE
RP11-206L10.3,0.00246114305076082,0.0379685274920648,3.64882372918951,0.0104056896989372,0.991697610673191,NA,NOT_CHANGE
RP11-206L10.9,0.0176446112177043,0.0362332977346313,1.48093880818105,0.0244664381367213,0.980480554183797,NA,NOT_CHANGE
FAM87B,0.00184226293125327,0.0379685274920643,3.64882372918951,0.010405689698937,0.991697610673192,NA,NOT_CHANGE
NCRNA00115,0.0243092924540199,0.0665610448675562,1.21903184579762,0.0546015636072286,0.956455893040518,NA,NOT_CHANGE
FAM41C,0.0214620676343645,-0.0514970108351243,1.25592009476916,-0.0410034133935802,0.967293174657805,NA,NOT_CHANGE
RP11-54O7.1,0.00478720240522856,0.0326204889627831,3.5333517980326,0.00923216561140233,0.992633902234992,NA,NOT_CHANGE
RP11-54O7.2,0.000694271341120315,0.0433182304756364,3.6488237306318,0.0118718342330381,0.990527869258629,NA,NOT_CHANGE
RP11-54O7.3,0.0095127620755089,0.0525141291609204,2.23368879667233,0.0235100472541895,0.981243424151077,NA,NOT_CHANGE
SAMD11,0.146301585983231,0.144612345374568,0.449267941816824,0.321884407754002,0.747540265885945,NA,NOT_CHANGE
NOC2L,0.293157927628815,-0.198658789929018,0.174903441442548,-1.13581978885346,0.256031993332016,0.40683642187632,NOT_CHANGE
KLHL17,0.0144647881815468,0.0340835173693682,1.66617966464296,0.0204560877152896,0.983679541665591,NA,NOT_CHANGE
PLEKHN1,0.0127647751357733,-0.0119326741258288,1.94966478866224,-0.00612037217639675,0.995116680021449,NA,NOT_CHANGE
PERM1,0.000779698501119808,0.0433182304756361,3.6488237306318,0.011871834233038,0.990527869258629,NA,NOT_CHANGE
RP11-54O7.17,0.0586052694334553,0.0595139651693977,0.686646845867439,0.0866733249086928,0.930931180243695,NA,NOT_CHANGE
HES4,1.64535885851643,0.608485980928718,0.181432768911496,3.35378214519528,0.000797150975169444,0.00388791877208225,NOT_CHANGE
ISG15,3.90610374712642,-0.224807099209157,0.141500658040851,-1.58873536223595,0.112120151742253,0.219562342913833,NOT_CHANGE
AGRN,0.45949962180884,0.0634472140446727,0.187220376717824,0.338890537221275,0.73469219329207,0.830811249668364,NOT_CHANGE
C1orf159,0.0381455747597438,-0.104797655184252,0.835988401452139,-0.125357786067624,0.900240306260805,NA,NOT_CHANGE
RP11-465B22.5,0.000682493685073666,0.0433182304756362,3.6488237306318,0.011871834233038,0.990527869258629,NA,NOT_CHANGE
RP11-465B22.8,0.00276595429626506,0.0251309020672634,3.64882372991003,0.00688739822131203,0.994504694741265,NA,NOT_CHANGE
RP11-465B22.6,0.000723075748518836,0.0433182304756361,3.6488237306318,0.011871834233038,0.990527869258629,NA,NOT_CHANGE
TTLL10,0.00696332381448438,0.0451147139068549,2.73377477302782,0.0165027179093059,0.986833333805909,NA,NOT_CHANGE
TNFRSF18,0.0127737402610492,-0.0222737146080568,1.83490462362129,-0.0121388950255617,0.990314800931304,NA,NOT_CHANGE
TNFRSF4,0.611923774291897,0.15242316138901,0.270278318937414,0.563948902702422,0.572788907418074,0.71049263452114,NOT_CHANGE
SDF4,1.06000833056617,-0.35177273663303,0.121439553281184,-2.89668997561714,0.00377122232055796,0.014334655059583,NOT_CHANGE
B3GALT6,0.177926406412681,0.252357321367395,0.260512068815886,0.96869723738498,0.332696271349835,NA,NOT_CHANGE
C1QTNF12,0.0664936929422449,0.128006738947297,0.621276653082959,0.206038225180505,0.836761052458034,NA,NOT_CHANGE
UBE2J2,0.327494869703208,-0.0861298895534398,0.180254791339333,-0.477823024361659,0.632776172171962,0.757244434294204,NOT_CHANGE
RP5-902P8.10,0.00175833402659249,0.0354725533432991,3.64882372991003,0.00972164071739736,0.992243375146263,NA,NOT_CHANGE
SCNN1D,0.00346835475832675,0.0557981012442944,3.6488237270354,0.0152920791516638,0.987799161667131,NA,NOT_CHANGE
ACAP3,0.123475824813266,-0.0519059481736964,0.345357968087204,-0.150296078185722,0.880531027000795,NA,NOT_CHANGE
PUSL1,0.101055715619539,-0.160919482358264,0.403680882871597,-0.398630426126593,0.690165539149883,NA,NOT_CHANGE
INTS11,0.320497834114936,-0.389285786369073,0.180706357988797,-2.15424510073524,0.0312209556733623,0.082145552449805,NOT_CHANGE
CPTP,0.111861016296327,-0.0859482843775179,0.359505321036708,-0.239073747586457,0.811048397970968,NA,NOT_CHANGE
DVL1,0.0759229321724332,-0.0346238805069893,0.514983822326996,-0.0672329479216231,0.94639625580799,NA,NOT_CHANGE
MXRA8,0.925062971744884,-1.29723573134926,0.184463915925318,-7.03246336738537,2.02918593073843e-12,9.2264547788263e-11,DOWN
AURKAIP1,1.61838381817017,-0.22134161198529,0.107162569300606,-2.06547503881132,0.0388780749462202,0.097362476844665,NOT_CHANGE
CCNL2,0.320395453360285,-0.0394404169935572,0.181664383574688,-0.217105941282883,0.828125783919293,0.891335353842194,NOT_CHANGE
MRPL20,1.31585154785089,-0.239817971165594,0.106961059539619,-2.24210541853097,0.0249545598891805,0.0686368329655153,NOT_CHANGE
RP4-758J18.13,0.00510115730511487,0.0247089005700401,3.14525255183492,0.00785593530657025,0.993731934981312,NA,NOT_CHANGE
ANKRD65,0.104092797474076,0.12411849543582,0.395372135059579,0.313928282824271,0.753575508878825,NA,NOT_CHANGE
