,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,group
RP11-34P13.7,0.000616159541761415,0.00829439180660454,3.09600988189936,0.00267905856990225,0.997862423086613,NA,NOT_CHANGE
RP11-34P13.8,0.000101697530176784,0.00884727999134627,3.09600988189936,0.00285763945492273,0.997719936701782,NA,NOT_CHANGE
AL627309.1,0.00418136906369159,-0.0128399639775353,1.12861981110482,-0.0113766955454788,0.990922906078566,NA,NOT_CHANGE
AP006222.2,0.0407648926864106,-0.0200066157035109,0.261711679263672,-0.0764452536463017,0.939064867708339,NA,NOT_CHANGE
RP11-206L10.3,0.00430034456482642,-0.00968050886373276,1.1122933048175,-0.00870319799805063,0.993055940351581,NA,NOT_CHANGE
RP11-206L10.9,0.0138354321089641,0.0120812382567202,0.538233676622973,0.0224460838878035,0.98209211997269,NA,NOT_CHANGE
FAM87B,0.000101678301394814,0.00748480668182439,3.09600988189936,0.00241756550119038,0.998071063690855,NA,NOT_CHANGE
NCRNA00115,0.0129719940912837,0.00680895974434703,0.563101131220353,0.0120918949844598,0.990352298786332,NA,NOT_CHANGE
FAM41C,0.0111396033970324,-0.00744790375773604,0.611536991644756,-0.0121789913929893,0.990282811023571,NA,NOT_CHANGE
RP11-54O7.1,0.000713133779455003,0.0100912768029868,3.09600988189936,0.00325944592812344,0.997399343022071,NA,NOT_CHANGE
RP11-54O7.3,0.000204451173531309,0.00928169167820666,3.09600988189936,0.00299795285941157,0.997607983282591,NA,NOT_CHANGE
SAMD11,0.000306199823056711,0.00835363005554564,3.09600988189936,0.00269819231016821,0.997847156625843,NA,NOT_CHANGE
NOC2L,0.111728304720267,-0.018072828005088,0.122280172595085,-0.147798515667244,0.882501780799523,0.99959549349408,NOT_CHANGE
KLHL17,0.0035815536845678,0.00591834127894263,1.28435706608744,0.00460801862286768,0.996323346096504,NA,NOT_CHANGE
PLEKHN1,0.0213041744641446,-0.0220402523823346,0.415527660922852,-0.0530416009691992,0.957698761567106,NA,NOT_CHANGE
PERM1,0.000307848682234682,0.00562868343649979,3.09600988189936,0.00181804440270283,0.998549411239331,NA,NOT_CHANGE
RP11-54O7.17,0.00224399092844822,0.0125314081616761,1.67482230639899,0.00748223146646506,0.994030098735554,NA,NOT_CHANGE
HES4,0.0774421894769217,0.0728988808770666,0.218965912448121,0.33292342201592,0.739192088804785,0.99959549349408,NOT_CHANGE
ISG15,1.4202880918786,0.814907180158805,0.057763648140844,14.1076127700909,3.40924662072875e-45,1.79922222560622e-43,NOT_CHANGE
AGRN,0.00739736495690633,-0.00890951732717903,0.813372145372783,-0.010953801870232,0.99126030537917,NA,NOT_CHANGE
RP11-54O7.18,0.000101361194623912,0.00884727999134627,3.09600988189936,0.00285763945492273,0.997719936701782,NA,NOT_CHANGE
RNF223,0.000306477208828139,0.00835363005554512,3.09600988189936,0.00269819231016804,0.997847156625844,NA,NOT_CHANGE
C1orf159,0.0111682642199376,-0.00646059756088473,0.618715560430292,-0.0104419509934284,0.991668679917957,NA,NOT_CHANGE
RP11-465B22.8,0.00162666272323511,0.000384185722579765,2.19263368725563,0.00017521655569409,0.99986019741613,NA,NOT_CHANGE
RP11-465B22.6,0.000922636872303938,0.00278751993070867,2.86864508946864,0.000971720043355032,0.999224679701999,NA,NOT_CHANGE
TTLL10,0.00620308231552803,-0.0263853586234895,0.964876283169234,-0.0273458463885381,0.978183890395804,NA,NOT_CHANGE
TNFRSF18,1.14190497231219,-0.729559454681319,0.0679219128819314,-10.7411500019075,6.52267764548422e-27,1.36463734454452e-25,NOT_CHANGE
TNFRSF4,0.965801266204606,0.00687793104896071,0.103170797264488,0.0666654831728062,0.94684801359469,0.99959549349408,NOT_CHANGE
SDF4,0.227776475729408,-0.188017861438937,0.0718847061439214,-2.61554747212159,0.00890845366343032,0.036984919603384,NOT_CHANGE
B3GALT6,0.0300309872700285,0.0448007833411373,0.323395747079725,0.138532382524167,0.889819678783761,NA,NOT_CHANGE
C1QTNF12,0.00188422980217446,0.0057773022465776,1.83118276021214,0.0031549566608569,0.997482712966376,NA,NOT_CHANGE
RP5-902P8.12,0.00010325494258504,0.00884727999134627,3.09600988189936,0.00285763945492273,0.997719936701782,NA,NOT_CHANGE
UBE2J2,0.146119496278458,-0.136662574431192,0.0982351150173615,-1.39117844374732,0.164171322247451,0.479898006849086,NOT_CHANGE
RP5-902P8.10,0.000928710441507628,0.0123229269183598,3.06184924459967,0.00402466807929697,0.996788788146352,NA,NOT_CHANGE
SCNN1D,0.000815866670602177,0.00916338551494545,3.0795501783216,0.00297555973578571,0.997625850330506,NA,NOT_CHANGE
ACAP3,0.0283447190317475,-0.0143590104969224,0.34303553800951,-0.0418586674145823,0.966611366123613,NA,NOT_CHANGE
PUSL1,0.0380078514175312,-0.0354481635534161,0.279517998469299,-0.126818894480992,0.899083740850468,NA,NOT_CHANGE
INTS11,0.117920057365638,-0.164550768321375,0.11819811858143,-1.39216063924073,0.163873758941942,0.479267338932551,NOT_CHANGE
CPTP,0.0320130253303655,-0.00193865053914181,0.308280808995998,-0.00628858651777763,0.994982466979042,NA,NOT_CHANGE
TAS1R3,0.000101685529426088,0.00884727999134627,3.09600988189936,0.00285763945492273,0.997719936701782,NA,NOT_CHANGE
DVL1,0.0067811420966127,0.00526821472242226,0.843746275959402,0.00624383759967641,0.995018170748936,NA,NOT_CHANGE
MXRA8,0.000101291055931444,0.00748480668182404,3.09600988189936,0.00241756550119027,0.998071063690855,NA,NOT_CHANGE
AURKAIP1,0.489465419817075,-0.246749785363561,0.0528221477495481,-4.67133192943053,2.99252902490275e-06,1.81097469296284e-05,NOT_CHANGE
CCNL2,0.084673360917387,-0.0717031446900252,0.149978060083821,-0.478090893094306,0.63258551359471,0.99959549349408,NOT_CHANGE
MRPL20,0.452381060024015,-0.334575448901383,0.0543272468467238,-6.15852023286469,7.34278045175343e-10,5.71994785723027e-09,NOT_CHANGE
RP4-758J18.13,0.00224708309004671,0.00299400054329359,1.67478288779094,0.00178769473053472,0.998573626734824,NA,NOT_CHANGE
ANKRD65,0.000153621318783019,0.00791921836868518,3.09600988189936,0.00255787890567935,0.997959110138259,NA,NOT_CHANGE
RP4-758J18.10,0.000101280256136523,0.0088472799913461,3.09600988189936,0.00285763945492267,0.997719936701782,NA,NOT_CHANGE
VWA1,0.00163737147907039,0.012647684453585,2.02999917824357,0.00623038895243701,0.995028901008218,NA,NOT_CHANGE
ATAD3C,0.00715477573391717,0.0115870322780677,0.835731385598443,0.0138645412601928,0.988938050985135,NA,NOT_CHANGE
ATAD3B,0.0297250478140103,-0.0279642165261427,0.330022624234639,-0.084734240844836,0.932472673590359,NA,NOT_CHANGE
ATAD3A,0.0348953784170094,-0.0273521760743093,0.300936249863615,-0.0908902669143561,0.927579784058302,NA,NOT_CHANGE
TMEM240,0.00030552516739358,0.00699115674602286,3.09600988189936,0.00225811835643557,0.998198283758123,NA,NOT_CHANGE
SSU72,0.510863026246378,-0.240442234654229,0.0420927153288588,-5.71220537272827,1.11521385358292e-08,8.03557534352859e-08,NOT_CHANGE
RP5-832C2.5,0.0120913972284183,0.00153661130118466,0.622295928353261,0.0024692613773818,0.998029816472518,NA,NOT_CHANGE
C1orf233,0.00254126324735623,0.0111103530885069,1.5499201206717,0.0071683391552411,0.994280541843952,NA,NOT_CHANGE
RP11-345P4.9,0.0122474469706759,0.00513048863972045,0.590937810091832,0.00868194343313922,0.993072898400076,NA,NOT_CHANGE
MIB2,0.0916944806415572,-0.0538723918142331,0.146192615693324,-0.368502824569772,0.712498339399177,0.99959549349408,NOT_CHANGE
MMP23B,0.00765868962658117,0.00830922654829716,0.80614734228716,0.0103073298297091,0.991776086285566,NA,NOT_CHANGE
CDK11B,0.0605579989323079,-0.0957536531470837,0.196655645324469,-0.486910268907341,0.626321921399384,0.99959549349408,NOT_CHANGE
RP11-345P4.10,0.00203522734186191,0.00757421944569509,1.82839217195386,0.0041425573582505,0.996694726895126,NA,NOT_CHANGE
SLC35E2B,0.0367483515414899,-0.0209741121377832,0.28053758275569,-0.0747640010716453,0.940402484606114,NA,NOT_CHANGE
CDK11A,0.101399404445202,-0.112736222024718,0.134250688453328,-0.839744088641379,0.401051888273772,0.920727692357771,NOT_CHANGE
SLC35E2,0.0238054498346302,-0.0384296553404435,0.379801135105548,-0.101183624239995,0.919404695960212,NA,NOT_CHANGE
NADK,0.0471170688205933,-0.0135694452642636,0.237474926175248,-0.0571405389310441,0.954433243761819,0.99959549349408,NOT_CHANGE
GNB1,0.198111176701631,-0.137304295428657,0.0801600945425699,-1.71287591677851,0.0867353697625309,0.286412511876497,NOT_CHANGE
RP1-140A9.1,0.00102002034565122,0.0100359476284547,2.69327421839021,0.00372629996601435,0.997026849668718,NA,NOT_CHANGE
CALML6,0.000203201779202738,0.00791921836868518,3.09600988189936,0.00255787890567935,0.997959110138259,NA,NOT_CHANGE
TMEM52,0.000925018451471093,0.0123248548767136,2.86835009131372,0.00429684469620259,0.996571624506347,NA,NOT_CHANGE
CFAP74,0.00132757301768587,0.00725503320558341,2.30023552290785,0.00315403928568668,0.997483444922219,NA,NOT_CHANGE
RP11-547D24.1,0.00142743224233976,0.0117776479935333,2.2001967346776,0.0053529976696648,0.995728946202916,NA,NOT_CHANGE
GABRD,0.000715041665295311,0.0100912768029867,3.09600988189936,0.00325944592812341,0.997399343022071,NA,NOT_CHANGE
RP11-547D24.3,0.000102539321259621,0.00748480668182439,3.09600988189936,0.00241756550119038,0.998071063690855,NA,NOT_CHANGE
PRKCZ,0.0268634745884658,0.0145495476036749,0.344780176909924,0.0421994899302927,0.966339669176319,NA,NOT_CHANGE
RP5-892K4.1,0.0075699646599588,0.0174122674818323,0.799238508210807,0.0217860717457318,0.982618604688154,NA,NOT_CHANGE
RP11-181G12.2,0.000561975078618251,0.0110193384256483,3.09600988189936,0.00355920647736696,0.997160170098805,NA,NOT_CHANGE
FAAP20,0.280871902430796,-0.25367773829651,0.0443084175096772,-5.72527191342605,1.03268203465758e-08,7.45006325002969e-08,NOT_CHANGE
AL590822.2,0.000406252603973714,0.00742556843288379,3.09600988189936,0.00239843176092458,0.998086330162542,NA,NOT_CHANGE
AL590822.1,0.00122592352177451,0.00818220621315735,2.41372950988688,0.00338986045438903,0.997295287860212,NA,NOT_CHANGE
SKI,0.0472871281839113,-0.0680098922244512,0.236225992722772,-0.28790181571706,0.773421896995635,0.99959549349408,NOT_CHANGE
MORN1,0.00405700981606054,0.00809091285417208,1.16284511702551,0.00695785942230049,0.994448476183963,NA,NOT_CHANGE
RER1,0.32482675309837,-0.292675879076513,0.0442963774108899,-6.60721928481135,3.91605776887742e-11,3.24015062289321e-10,NOT_CHANGE
PEX10,0.0253683711024311,-0.0442350702425095,0.360320309860001,-0.122765964149222,0.902292427007811,NA,NOT_CHANGE
PLCH2,0.00909028769270079,-0.0151491078417914,0.709855443915484,-0.0213411166620497,0.982973544945568,NA,NOT_CHANGE
RP3-395M20.2,0.000101323462226368,0.00748480668182439,3.09600988189936,0.00241756550119038,0.998071063690855,NA,NOT_CHANGE
PANK4,0.0270895725837871,-0.046821847848694,0.346671869118868,-0.135060995770152,0.8925636484154,NA,NOT_CHANGE
HES5,0.000203651043934807,0.00928169167820666,3.09600988189936,0.00299795285941157,0.997607983282591,NA,NOT_CHANGE
RP3-395M20.12,0.0451312906728365,-0.0175581439030327,0.249923597922673,-0.0702540458322997,0.943991458197006,0.99959549349408,NOT_CHANGE
RP3-395M20.8,0.0267816139874752,-0.00359727411389095,0.351420458058981,-0.0102363821780894,0.991832691335099,NA,NOT_CHANGE
TNFRSF14,0.259594745259395,-0.00972405096112645,0.0652966967216184,-0.148921024329658,0.881615951186288,0.99959549349408,NOT_CHANGE
RP3-395M20.9,0.00677842910668747,0.0107181090862731,0.868177176593292,0.0123455319665633,0.990149940861081,NA,NOT_CHANGE
FAM213B,0.0280322368978285,0.0206313796934554,0.334990111398198,0.0615880260087177,0.950890912701331,NA,NOT_CHANGE
MMEL1,0.00532009686524878,0.00649203163651725,1.00042290824234,0.00648928726344665,0.994822334221224,NA,NOT_CHANGE
RP13-436F16.1,0.000103352349127136,0.00884727999134627,3.09600988189936,0.00285763945492273,0.997719936701782,NA,NOT_CHANGE
TTC34,0.00183569878820508,0.00670500269887502,1.89084951268103,0.00354602661603038,0.997170686040317,NA,NOT_CHANGE
PRDM16,5.05786639811653e-05,0.00748480668182439,3.09600988189936,0.00241756550119038,0.998071063690855,NA,NOT_CHANGE
ARHGEF16,0.00234022415364101,0.00206593475311381,1.67363101121485,0.00123440276815509,0.999015089339603,NA,NOT_CHANGE
MEGF6,0.00429003429529619,-0.00330253362251536,1.1283147025683,-0.00292696143637767,0.997664625994414,NA,NOT_CHANGE
RP11-46F15.2,0.00163636073847109,0.0112852000456823,2.03002830935054,0.00555913432029561,0.995564475400308,NA,NOT_CHANGE
TPRG1L,0.0195197158596152,-0.00310357325332877,0.42873393553469,-0.00723892604735894,0.994224223113821,NA,NOT_CHANGE
