sample	group
2	MSIH
3	MSIH
4	MSIH
5	MSIH
6	MSIH
7	MSIH
8	MSIH
9	MSIH
10	MSIH
11	MSIH
12	MSIH
13	MSIH
14	MSIH
15	MSIH
16	MSIH
17	MSIH
18	MSIH
19	MSIH
20	MSIH
21	MSIH
22	MSIH
23	MSIH
24	MSIH
25	MSIH
26	MSIH
27	MSIH
28	MSIH
29	MSIH
30	MSIH
31	MSIH
32	MSIH
33	MSIH
34	MSIH
35	MSIH
36	MSIH
37	MSIH
38	MSIH
39	MSIH
40	MSIH
41	MSIH
42	MSIH
43	MSIH
44	MSIH
45	MSIH
46	MSIH
47	MSIH
48	MSIH
49	MSIH
50	MSIH
51	MSIH
52	MSIH
53	MSIH
54	MSIH
55	MSIH
56	MSIH
57	MSIH
58	MSIH
59	MSIH
60	MSIH
61	MSIH
62	MSIH
63	MSIH
64	MSIH
65	MSIH
66	MSIH
67	MSIH
68	MSIH
69	MSIH
70	MSIH
71	MSIH
72	MSIH
73	MSIH
74	MSIH
75	MSIH
76	MSIH
77	MSIH
78	MSIH
79	MSIH
80	MSIH
81	MSIH
82	MSIH
83	MSIH
84	MSIH
85	MSIH
86	MSIH
87	MSIH
88	MSIH
89	MSIH
90	MSIH
91	MSIH
92	MSIH
93	MSIH
94	MSIH
95	MSIH
96	MSIH
97	MSIH
98	MSIH
99	MSIH
100	MSIH
101	MSIH
102	MSS
103	MSS
104	MSS
105	MSS
106	MSS
107	MSS
108	MSS
109	MSS
110	MSS
111	MSS
112	MSS
113	MSS
114	MSS
115	MSS
116	MSS
117	MSS
118	MSS
119	MSS
120	MSS
121	MSS
122	MSS
123	MSS
124	MSS
125	MSS
126	MSS
127	MSS
128	MSS
129	MSS
130	MSS
131	MSS
132	MSS
133	MSS
134	MSS
135	MSS
136	MSS
137	MSS
138	MSS
139	MSS
140	MSS
141	MSS
142	MSS
143	MSS
144	MSS
145	MSS
146	MSS
147	MSS
148	MSS
149	MSS
150	MSS
151	MSS
152	MSS
153	MSS
154	MSS
155	MSS
156	MSS
157	MSS
158	MSS
159	MSS
160	MSS
161	MSS
162	MSS
163	MSS
164	MSS
165	MSS
166	MSS
167	MSS
168	MSS
169	MSS
170	MSS
171	MSS
172	MSS
173	MSS
174	MSS
175	MSS
176	MSS
177	MSS
178	MSS
179	MSS
180	MSS
181	MSS
182	MSS
183	MSS
184	MSS
185	MSS
186	MSS
187	MSS
188	MSS
189	MSS
190	MSS
191	MSS
192	MSS
193	MSS
194	MSS
195	MSS
196	MSS
197	MSS
198	MSS
199	MSS
200	MSS
201	MSS
