"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"IPP",-3.39987613037906,1.69993806518953,-123.699063572065,8.6600990051953e-191,6.78580942717635e-190,426.688512378999
"SLAMF6",-3.32505480585466,1.66252740292733,-493.328937198321,2.5428649329817e-310,7.83308352063905e-308,701.539293750835
"SLC17A4",-3.31834820030002,1.65917410015001,-479.804940917056,6.54220161210006e-308,1.63954225485613e-305,696.061747631724
"SLC19A3",-3.31761475690777,1.65880737845388,-488.20679540548,2.04361118250997e-309,5.70128961218725e-307,699.483187470625
"SLC23A3",-3.29088811278094,1.64544405639047,-459.911700773098,3.07253174012015e-304,5.75069041891349e-302,687.707633601417
"SLC10A1",-3.2882009178111,1.64410045890555,-473.30150170987,9.9792396645102e-307,2.30551621374137e-304,693.370607273268
"NDOR1",-3.287815997732,1.643907998866,-543.022450100323,1.20781264044934e-318,8.92935884096069e-316,720.408530971692
"SLC24A3",-3.25703343338859,1.62851671669429,-447.491374261621,7.26508932780954e-302,1.20698439102238e-299,682.30070347483
"NDC80",-3.25689707197598,1.62844853598799,-625.829710871398,0,0,748.164114304128
"SLC24A1",-3.25293955619462,1.62646977809731,-505.766632589649,1.76227473571865e-312,7.04243087630703e-310,706.441343803842
"SLC22A3",-3.24213627885718,1.62106813942859,-497.007005232362,5.77009098661263e-311,1.89592367395676e-308,703.0021400212
"ADAMTS18",-3.2313326958389,1.61566634791945,-587.599279011198,0,0,735.861764450934
"NDP",-3.23052402426619,1.6152620121331,-264.192680076251,3.28613184701883e-256,9.77640754326367e-255,577.652537118624
"SLC14A1",-3.22151741406158,1.61075870703079,-497.224755076533,5.28685570076383e-311,1.77662382707941e-308,703.088391934671
"SLC1A1",-3.21730052359274,1.61412167302258,-377.819239976197,3.40530624734188e-287,2.89372748121822e-285,648.791490177844
"SLC22A9",-3.21633071651196,1.60816535825598,-513.431150528953,8.74417881560252e-314,4.04035712398446e-311,709.400284628242
"SLC25A15",-3.21236053497773,1.60618026748886,-470.807767438306,2.86530516856824e-306,6.32334361529104e-304,692.328553047827
"SLC22A4",-3.20739210289643,1.60369605144821,-478.429182658435,1.16069361348729e-307,2.86033596150384e-305,695.495610222358
"SLC22A5",-3.19579971842859,1.5978998592143,-537.596220557381,8.97470245670624e-318,6.03181593115151e-315,718.437435398075
"SLC15A1",-3.18995365183927,1.59497682591963,-435.798542766842,1.43490227116415e-299,2.12164649814332e-297,677.067516177052
"SLC13A5",-3.18460637616283,1.59230318808141,-456.62447654954,1.28664502406409e-303,2.34868312664341e-301,686.291374027746
"SLC25A18",-3.18242602605447,1.59121301302723,-444.269506772209,3.07425702443555e-301,4.88773810358109e-299,680.872896669657
"SLC12A3",-3.17194606594051,1.58597303297025,-437.42120649914,6.83292976148528e-300,1.03093570870736e-297,677.802310375878
"SLC25A34",-3.16170457264246,1.58085228632123,-435.985261656966,1.31729882054153e-299,1.9674323596492e-297,677.152211403565
