1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
A1CF,3.966886282,3.715294838,3.738918304,3.697972775,3.556545734,3.480578899,3.941251993,3.821233034,3.328015327,3.6790874,3.382924795,3.403169155,3.749583244,3.398040056,3.753734589,3.821776867,3.809931517,3.835473061,3.700692654,3.921078444,3.757872581,3.589661837,3.902281284,3.947691202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAC,2.636346102,3.289422274,2.752440929,2.860119343,2.425105095,2.64911294,2.686101913,2.918462276,2.500901461,3.829257488,2.690719128,2.638176918,2.551394463,2.647757053,2.770513058,2.682275772,2.736447811,2.782441854,2.666865587,2.825441837,2.716094971,2.608872652,3.8759408,2.790619373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAT,2.711359739,2.562674999,2.163237572,2.194849014,2.553347349,2.586444616,2.412908554,2.506209612,2.430487394,2.414320946,2.115131378,2.527361155,2.534240484,2.595188141,2.370808363,2.334206104,2.349464417,2.432530403,2.478870392,2.381862164,2.511016369,2.760527611,2.758859158,2.245353937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAED1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AASDH,1.579702139,1.44175148,1.522509575,1.378088713,1.575088263,1.542626381,1.359261394,1.592684746,1.466326952,0.956169546,1.304137826,1.431552172,1.441424847,1.233631134,1.275380373,1.27261734,1.354108572,1.317380428,1.230000019,1.509030819,1.256100178,1.411809325,1.511060834,1.509580851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABAT,2.755493164,2.32239151,2.578595638,2.096928596,2.763430834,1.97630775,2.25692749,2.08133626,1.773821831,2.340917587,2.649556637,2.296416283,2.646806717,2.466725826,2.287028313,2.414878845,2.655348301,2.923774719,2.786601067,2.661538124,2.656646252,2.313977242,2.993687391,1.707287192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA5,0.923340976,0.773802876,1.154845834,1.276600361,1.189381838,0.701956511,1.419388533,0.852644324,0.953465343,1.189197779,0.985261619,0.776622534,1.089707136,0.991164148,1.157468796,1.512660503,1.398067713,1.455670834,1.099421501,1.259026766,1.485135794,1.002745032,1.319616795,1.588286877,3.231888771,3.344456911,3.428628922,4.044252872,3.165620804,3.238252163,3.292105675,4.3562994,3.803243876,3.128511906,3.351971865,3.280267239,3.255910873,3.261442423,3.306324482,3.380054474,3.054725647,3.353948832,3.064300776,3.335676908,3.087077141,3.291428089
ABCA8,0.647724092,0.619728327,1.382987499,1.055806279,0.884288788,0,1.763484001,0.627862632,0.376459837,0.76070559,0.393247604,1.279065847,0.907416821,0,0.567455173,1.519390583,1.329107523,1.699730873,1.337029219,0.989010751,1.590696573,0.481993198,1.156873465,0.424196482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB1,1.965668201,1.504315853,1.474396586,1.730543613,2.298045158,1.737862229,1.562059402,1.070337296,1.129717588,1.095201492,1.494743347,2.073489428,1.451454163,1.542342424,1.488853812,1.877492905,2.176558495,2.143781662,1.31911552,1.526684999,2.005074024,1.150651813,2.170394897,1.166491032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB7,1.353663206,1.583792925,1.266057372,1.109668374,1.53527689,1.341580749,1.15367341,1.67320478,1.593510985,1.050305843,1.083058357,1.401965976,1.289272666,1.312565565,1.447465301,1.180808663,1.466861844,1.273230076,1.489846349,1.38320291,1.291586757,1.50306654,1.225031495,1.254653931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC10,2.019440174,2.272461891,2.072854042,1.846973658,2.084890127,1.928179383,1.862784147,2.055204868,2.12273407,2.003748894,2.074493408,2.004605293,2.005605936,1.9818995,1.922684789,1.944556952,2.223681927,1.940254807,1.997548103,1.92743063,1.959327936,2.259549141,1.893866777,1.888603806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC2,3.910988808,3.246606588,3.256787777,2.985222816,3.118042946,3.411300898,3.071068764,3.295147896,3.092859268,3.542884588,3.622673273,3.194240093,3.082633972,3.085340977,3.100696564,3.155575275,3.224197388,3.158672333,3.36888361,3.682163239,3.144299269,3.09364748,3.323803186,3.030449867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC3,1.742310524,1.819811821,1.727445126,1.669834852,1.661058784,1.50980401,1.710364103,1.699127436,1.374906301,1.117734075,1.564253449,1.587973833,1.594591856,1.383128285,1.565650463,1.830723524,1.870543242,1.694980025,1.600869656,1.53626287,1.719253778,1.756207228,1.773424625,1.796836138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC4,1.309942126,0.968349218,1.34885025,0.668301225,1.376983881,1.083947659,0.788673878,0.961940289,1.091429234,1.102301478,0.913812757,1.042748332,1.241456151,1.232011199,1.235742331,1.322848201,1.2009269,1.400661111,1.253473759,1.371836662,1.248275995,1.279435754,0.869356215,1.312760353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD3,1.324043751,1.199310541,1.010091305,1.007873774,1.154101372,0.760332644,0.899527073,1.229454875,1.139401078,0.651382327,0.648919523,0.884934783,0.983200729,0.977730632,1.265458941,1.328571439,1.340420723,1.285480499,1.36899662,1.424283147,1.400749564,1.319515944,1.139046431,1.170949936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCE1,0.707043767,0.6865381,0.693163872,0.330599755,0.721435785,0.517069459,0.270785511,0.791139185,0.678470254,0.238318697,0.338884175,0.501034617,0.508909702,0.566666424,0.575516284,0.442837596,0.653423071,0.58283031,0.628496766,0.835605681,0.549347043,0.903258622,0.60553509,0.516876161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCF2,0.548644602,0.603925228,0.409118295,0.284300923,0.44196257,0.189895317,0.181494683,0.759161294,0.407212317,0.16662395,0.252228588,0.302499503,0.399363339,0.271032751,0.148618191,0.111492351,0.299891233,0.292298228,0.240586057,0.54981482,0.178394377,0.404688716,0.171566412,0.101466715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCG1,0.793278217,0.876226544,0.888590932,0.739264667,0.632762432,0.384305298,0.69722724,0.704027653,0.57048583,0.512422323,0.679925442,0.557696164,0.876055479,0.693436027,0.842943847,1.003518105,1.110922694,0.950225532,0.732092738,0.738897562,0.981173992,0.515252113,0.523920178,0.821036041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCG2,1.724853158,1.899600983,2.090578079,2.294054031,1.991322041,1.886998653,1.975260139,2.029393196,1.879459739,2.042573929,1.771126151,1.642619848,2.236881971,1.771543622,2.042043209,2.249659538,2.406568766,1.993234634,1.881012559,1.89518559,2.551824093,2.033314943,1.965100884,1.662929296,4.12037468,3.978469372,3.889374733,3.816610575,3.946873665,4.125185966,4.025504112,3.974135399,3.964809179,3.756679058,3.901580334,3.740634918,3.967792511,3.69245553,3.998543024,4.121042252,3.989356995,3.891762257,3.992666006,4.018534184,4.037842751,4.067276955
ABCG5,3.498451471,3.817591906,3.890344143,3.887310028,3.577410698,3.776350498,3.819741249,3.779288292,3.868494272,3.927265167,3.829783916,3.722862005,4.337217331,3.811001539,3.848459959,4.012527466,3.744433403,3.757167816,3.685720921,3.603165627,3.66903615,3.661902428,3.560044765,3.915161133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD10,1.916198015,1.96318841,1.857226849,1.500023365,1.865917683,1.726056218,1.597684383,1.750228405,1.809009314,1.620602369,1.564950466,1.644258618,1.823669314,1.639447331,1.790052652,1.811244607,1.848172188,1.855356932,1.874433517,1.931460023,1.814988017,1.978826046,1.842859745,1.906106234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD11,0.550214887,0.745599151,0.559421241,0,0.597774982,0.273295224,0.15359959,0.544268012,0.557646155,0.107526883,0.36978507,0.438203216,0.533592343,0.161657363,0.442201823,0.310819119,0.758539557,0.424511105,0.622816026,0.582289934,0.342995703,0.479861498,0,0.269608736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD12,0.040083766,0.03164801,0,0,0,0,0,0.068034768,0,0,0,0,0.032500774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD14B,0.345922649,0.209744856,0.423721194,0,0.2774719,0,0.018499419,0.554117084,0.359470904,0,0,0.102113396,0.196101487,0,0.227684811,0.214843377,0.390890002,0.276353359,0.356957793,0.546715379,0.26596722,0.163532376,0.195674986,0.057125077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
