1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
A1CF,2.771948576,2.767056227,2.757843494,2.7619555,2.756828547,2.768981934,2.744850874,2.760091066,2.7616539,2.775037527,2.75680232,2.761336803,2.767811537,2.760036707,2.763982773,2.767981291,2.765427828,2.769441843,2.764914751,2.766329288,2.757398605,2.765879631,2.76385355,2.762516022,3.420356274,3.401486874,3.403524399,3.399798393,3.403575897,3.418074369,3.412726402,3.405583143,3.359930038,3.404189587,3.389719248,3.361172199,3.422878742,3.405215025,3.411747456,3.407402515,3.380542278,3.405630112,3.394970417,3.390847683,3.394305229,3.3987391
A2M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.18893909,12.19875145,12.22011662,12.17185879,12.22353077,12.21102524,12.20358467,12.19428444,12.21112728,12.20647621,12.20917606,12.16992283,12.2085762,12.21512032,12.22359943,12.21689034,12.20591927,12.23921394,12.18324852,12.1777935,12.17549706,12.18940544
AADAC,0.42962563,0.506092668,0.464340359,0.436406821,0.420889944,0.395843774,0.406917274,0.495894909,0.412497431,0.481098622,0.415369362,0.418287277,0.422734886,0.414241761,0.445141464,0.421724588,0.447350979,0.439203382,0.446313918,0.46788457,0.430954933,0.446890742,0.533917129,0.43488887,0.831878126,0.835820913,0.831764817,0.84370482,0.827027917,0.829278529,0.904715896,0.857629716,0.833668947,0.823693037,0.859271646,0.836966038,0.858615458,0.831043065,0.833098888,0.848262906,0.848697782,0.846792936,0.830657244,0.821429968,0.86880219,0.842061162
AADAT,0.104725063,0.118240058,0.093644157,0.071246982,0.117509484,0.088652745,0.085454181,0.117704719,0.090631261,0.087216303,0.074379563,0.100008518,0.112228781,0.103274986,0.103874192,0.079800144,0.085737988,0.082097515,0.106672704,0.108887985,0.104893148,0.128741413,0.129542291,0.091752395,2.826871872,2.804883718,2.837406158,2.822438717,2.839413166,2.811157703,2.832273245,2.800570726,2.816922665,2.800172567,2.823437929,2.828606844,2.825044394,2.819801807,2.819391012,2.832550764,2.840839624,2.826687336,2.827677488,2.811156034,2.834760904,2.81827569
AAED1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5688858,10.53416252,10.56182098,10.54437065,10.52671432,10.55841064,10.56108761,10.5701313,10.53919411,10.53920269,10.5675621,10.55820274,10.54972744,10.57658005,10.60335541,10.55265236,10.55209923,10.5643959,10.5643692,10.551301,10.59123802,10.58052635
AASDH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44247818,9.41190052,9.43221283,9.413933754,9.433855057,9.426198006,9.428655624,9.419887543,9.38996315,9.434924126,9.42165184,9.404373169,9.438158989,9.438833237,9.421802521,9.389043808,9.431528091,9.419483185,9.457386017,9.427536011,9.41980648,9.430202484
ABAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.038709641,7.036319256,7.030583858,7.04271698,7.028205872,7.037352562,7.026720047,7.041718483,7.021808624,7.039339066,7.014288902,7.020889282,7.022427559,7.044467449,7.0163517,7.004446507,7.058857441,7.029763222,7.006720066,7.024942875,7.00702858,7.004323006
ABCA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.672992706,4.662361145,4.650286674,4.678112507,4.659503937,4.671346188,4.653352737,4.693956375,4.672958374,4.662503719,4.666404247,4.674836159,4.658519745,4.67343998,4.668422222,4.663223267,4.668836594,4.680976868,4.66501236,4.661399841,4.665285587,4.635909081
ABCA12,0,0.004292905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000424713,0,0,0,9.999855042,10.01255512,10.00767899,9.991752625,10.01623535,10.00548649,9.971399307,10.03440857,10.01860428,9.997868538,9.948894501,10.00009918,10.01057339,10.00165462,10.02083683,10.00424385,9.980354309,10.03617477,9.986703873,10.0245924,9.956652641,10.01365471
ABCA5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
