1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
A1CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2M,12.80908203,12.79820061,12.79493427,12.79326439,12.79359055,12.80647469,12.79009056,12.73862934,12.77606392,12.79407024,12.8262682,12.75996208,12.83555317,12.78545189,12.77106094,12.74690247,12.80624485,12.76244926,12.80735397,12.76279736,12.79776382,12.77390957,12.75655556,12.79039764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAC,0.010681152,0,0,0,0,0.026472241,0,0,0.023346931,0,0,0.002274364,0.016596854,0,0,0,0,0,0,0,0,0,0,0.007095128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAT,1.592889071,1.579671741,1.557817698,1.56114924,1.545045257,1.575294614,1.547516465,1.555788398,1.568120003,1.554507017,1.551554441,1.565085649,1.558628321,1.542801738,1.507986665,1.568887234,1.564181209,1.590298772,1.561392069,1.561602831,1.559495211,1.570757031,1.541893959,1.555106401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAED1,12.41981125,12.4203949,12.40394783,12.34925556,12.41760254,12.41176033,12.41430664,12.36146736,12.35138607,12.35791969,12.38194847,12.36590767,12.38534164,12.36521912,12.38694572,12.35964775,12.41333103,12.41800117,12.37437248,12.39050007,12.38175869,12.38502884,12.39367485,12.4020195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AASDH,7.555905342,7.541437149,7.589897156,7.591803551,7.573768139,7.586009979,7.585519314,7.559961319,7.536328793,7.573323727,7.552052498,7.593972206,7.587564468,7.567445278,7.571557999,7.579893589,7.566747189,7.581144333,7.542904854,7.562555313,7.560390949,7.550372601,7.56292057,7.560175896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABAT,5.304946899,5.323934555,5.301169395,5.312970161,5.318104744,5.297916412,5.290622711,5.307961464,5.282824516,5.296273232,5.336357117,5.24907589,5.300999165,5.291492939,5.309149742,5.317181587,5.314055443,5.30452013,5.306856155,5.25966692,5.300700188,5.291893005,5.305439949,5.271691799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA1,10.91575623,10.93865967,10.89777184,10.88670158,10.93927288,10.9085083,10.88555145,10.88472462,10.91039753,10.89235115,10.93562412,10.90145016,10.90821171,10.91698265,10.88610935,10.95672226,10.92831707,10.91039658,10.91355896,10.89581394,10.91122055,10.89714432,10.93839359,10.94125557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA5,7.872673988,7.888876915,7.851330757,7.884727478,7.8649683,7.899409771,7.910578251,7.863525867,7.891179562,7.860835075,7.873692989,7.870643139,7.861287117,7.872840881,7.855464935,7.880438328,7.893400192,7.85858202,7.857272625,7.850589275,7.869259834,7.836966991,7.845863342,7.881607056,0,0,0,0,0,0,0,0.041748822,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA8,0.059926331,0.053484201,0.047135085,0.072625488,0.071164072,0.068080872,0.035701007,0.05291599,0.039968789,0.045589685,0.029068351,0.027173966,0.029289901,0.037637383,0.007397741,0.020276666,0.078762114,0.0462901,0.006807923,0.025868595,0.039812833,0.037729084,0.048003733,0.05582276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB1,5.868765831,5.817575455,5.842293739,5.823412895,5.843184471,5.866407394,5.850391388,5.848879337,5.815036774,5.846508026,5.815453053,5.849463463,5.846265316,5.862060547,5.842674732,5.850161552,5.871214867,5.859956741,5.831088066,5.794843197,5.834383965,5.829892159,5.809281349,5.826976299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB7,8.133712769,8.170543671,8.14556694,8.185407639,8.201716423,8.178243637,8.182032585,8.168470383,8.185691833,8.15448761,8.147316933,8.185958862,8.187128067,8.160839081,8.187982559,8.185983658,8.213845253,8.177547455,8.177883148,8.171442986,8.206575394,8.171936035,8.151828766,8.174962044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC10,5.293268204,5.323093891,5.249959469,5.293478012,5.280889988,5.292064667,5.279685974,5.311555862,5.252946377,5.298135757,5.265935898,5.28189373,5.300951958,5.299312592,5.291142941,5.303385258,5.292348862,5.296638012,5.273587227,5.273303986,5.283551216,5.294893742,5.280158997,5.301994324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC3,7.684555054,7.690318108,7.701863289,7.746888161,7.710098267,7.69844532,7.691169739,7.702802658,7.699587822,7.704755306,7.635493755,7.705443382,7.707138538,7.675148964,7.733132362,7.681550503,7.721519947,7.701388359,7.707747936,7.697693348,7.700097561,7.689167976,7.695320129,7.708665848,0,0.009259552,0.014160618,0.030620471,0.029547364,0.025624439,0.041912466,0.028701946,0.000694811,0.021589547,0,0,0.023971364,0.028251722,0.01712963,0,0.020286202,0.009806931,0.032084897,0.007298261,0.005889595,0.006026387
