"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MAN1A2",-4.34716691759265,2.07907983015301,-17718.17581463,1.80451037307232e-156,1.29058581882132e-152,347.766254998601
"AVEN",-4.21234346316572,2.014599047601,-17034.1944888064,1.07199203763155e-155,2.55562901771361e-152,346.169265724201
"FSCN1",-4.20630781481772,2.01171243317369,-17043.647306855,1.04541011826913e-155,2.55562901771361e-152,346.191877022326
"IGFBP4",-4.08022286891852,1.95141093730886,-14446.2674692986,1.85900892069106e-152,1.0227409077525e-149,339.331516735976
"TP53",-4.06590936345383,1.94456534773879,-7097.86113146196,1.72922860578322e-138,1.27237067783556e-137,308.063865062219
"CD59",-4.02540947307657,1.92519583494966,-13286.4676715112,8.20945338395636e-151,2.25823117700215e-148,335.777539389004
"SQLE",-4.00481585283323,1.91534671222459,-15443.4410855101,9.06273614931959e-154,1.0802781489989e-150,342.128899334405
"HSD17B12",-3.99359276143213,1.90997914677189,-13117.9457391462,1.46292975511644e-150,3.60788745123889e-148,335.231309477708
"LDHD",-3.9863689997127,1.90652430421042,-11522.4178542596,5.18057785589832e-148,5.00695848991687e-146,329.626882466205
"RPL31",-3.97764018116248,1.90234965186032,-13248.1586520342,9.35559064527068e-151,2.4769959196694e-148,335.654071036715
"RPL26L1",-3.96653102461242,1.89703657698855,-11197.2209525063,1.89284547368755e-147,1.65093058875773e-145,328.377476981998
"UTY",-3.96156390340869,1.89466099728242,-13710.7892872634,1.97870110082261e-151,7.07583513654167e-149,337.118227971387
"RPL22",-3.95157584000687,1.88988409739459,-15517.3491700104,7.30153608724301e-154,1.04441172191924e-150,342.327614288085
"THRAP3",-3.92891610686478,1.87904683371794,-9516.77483232418,2.97447946659417e-144,9.28972801095262e-143,321.211651966892
"SPINK2",-3.92614770988822,1.87772281777263,-11133.2915205732,2.45280044332333e-147,2.06381514948805e-145,328.127116402359
"CXXC5",-3.91858405482745,1.87410541752617,-14587.1007829744,1.19835415528458e-152,7.38030640175483e-150,339.740256261689
"CYFIP2",-3.8834545721983,1.85730436061658,-16296.2918586983,7.95559156069844e-155,1.42245977105288e-151,344.354906142055
