"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SPARC",4.73739768964509,2.47168575111918,690.042339245718,1.00141244475138e-92,1.19448064164684e-92,200.723534253622
"FOSB",4.52605761299286,2.44114552372865,508.116806604269,1.04531739035729e-86,1.21293794969875e-86,186.560825704666
"DDX21",4.385302884566,2.28798411368661,576.533367774394,3.42808547530601e-89,4.02684229649967e-89,192.406613187516
"PKP3",4.27541273869707,2.23065012453761,552.509175293883,2.35555360654888e-88,2.7567350689904e-88,190.436911251533
"SH3BGRL",4.26943312301117,2.22753032504931,567.126970005335,7.22031721902455e-89,8.46998750693265e-89,191.645353312542
"IRF2BP2",4.24243774865731,2.21344578190817,556.606111521211,1.6858017917919e-88,1.97424480635245e-88,190.778796496331
"THY1",4.21549777722388,2.47800544197587,624.101979301812,9.46033819932563e-91,1.118639548344e-90,196.075499541449
"CISD3",4.19349714358523,2.1879115531749,516.333547445413,5.05574945103212e-87,5.87724534979562e-87,187.303176796752
"IL1RN",4.15484083285708,2.16774304322978,550.757444339071,2.71983312610303e-88,3.18252053826695e-88,190.28995673162
"STAU1",4.12676765498289,2.15309616781717,493.103327435772,4.06496082258165e-86,4.69954074151834e-86,185.172875614418
"GCNT3",4.09166938553301,2.16043566579207,347.264799477469,3.18901334973931e-79,3.581459760027e-79,168.94796793786
"GAR1",4.02251554703593,2.09870376367092,500.295486212983,2.11010098399116e-86,2.44397772196444e-86,185.842963989418
"CERS6",3.99599528866149,2.08486710712774,514.889848629083,5.73915468211981e-87,6.66946551795808e-87,187.173603359575
"CYTH2",3.98760327282313,2.08048866408164,523.219234714723,2.77502366348681e-87,3.23133197519881e-87,187.916231894517
"PRKCB",3.94880448512511,2.06024581832615,559.674748822613,1.31426927733348e-88,1.53966114463899e-88,191.033227065599
"EXOSC5",3.94633977890172,2.05895988464438,488.318511496575,6.32130558734445e-86,7.29720435829902e-86,184.721642749405
"RDH11",3.91360356045229,2.04230703105939,485.161562188985,8.47914353779234e-86,9.77681382221985e-86,184.421499173988
"G6PD",3.90771364384456,2.0388071185276,516.312136967272,5.06525145408881e-87,5.88730713884901e-87,187.301257832066
"SF3A2",3.89947749593344,2.03450999787832,528.075069655259,1.82641543897688e-87,2.12780917450917e-87,188.34373161489
"RCC1",3.87007572976108,2.01916994596231,841.864249664794,1.22885963307987e-96,1.49553550725191e-96,209.926248591094
"FKBP7",3.84902590572561,2.00818742907424,488.058222510305,6.47577281550138e-86,7.47303753053379e-86,184.696969539299
"ATPAF1",3.84277625858955,2.00492674361194,809.557210428902,7.22953760144661e-96,8.77538915700118e-96,208.115443606742
"ORAI2",3.83681667654395,2.00181739645771,513.668423329632,6.39077470073751e-87,7.42423108401749e-87,187.0636952138
"FOXO1",3.83672044306304,2.00176718768506,521.407186586906,3.24706837571404e-87,3.77973108214185e-87,187.755685005657
"TRIB2",3.81947299002283,1.99276851653366,395.820369997844,8.51927605369557e-82,9.66444464557896e-82,175.003614556803
"PHF23",3.81533633723936,1.9906102629075,673.893034942765,2.9265205949022e-92,3.47999730112002e-92,199.627623616273
"GZF1",3.81430576726544,1.99221885323367,600.155074976294,5.56369293434186e-90,6.55983734578048e-90,194.264869222061
"ARFIP1",3.80911205332795,1.98736281043198,554.820154572631,1.9498833742429e-88,2.28274225328033e-88,190.63007057943
"DCUN1D1",3.80474001556846,1.98508174725311,634.012758166222,4.6350763227556e-91,5.48635246781999e-91,196.804611008209
"ZCCHC14",3.79960958317955,1.98240499991977,775.544599084898,5.04969774626517e-95,6.10069460172481e-95,206.129203351375
"FAM217B",3.79569106900635,1.98036055774245,459.699829178909,9.73733527143066e-85,1.11812135861177e-84,181.926854029397
"SYTL1",3.79554986037187,1.98028688367228,304.265336412982,1.26620596630992e-76,1.40725528044098e-76,162.83203815271
"EVA1A",3.77375827612102,1.96891736145445,389.950640985635,1.67561237084888e-81,1.89930047707956e-81,174.312285816247
"ZMYM4",3.757803533621,1.96059314797617,850.67520514198,7.66890065359956e-97,9.34294589087795e-97,210.408042824929
"ABCD1",3.75036587206647,1.95671262890425,587.623023795282,1.44666036843714e-89,1.70221255534887e-89,193.288305684031
"LRRC58",3.74550382230378,1.95417590728893,489.902940723817,5.45888483084857e-86,6.30478078620178e-86,184.871550297113
"ZNF844",3.74233269709145,1.95252140717815,399.648351318856,5.51003711664442e-82,6.25682529541889e-82,175.448970324455
"GABBR1",3.73365653249735,1.94799471260731,405.306101955945,2.91566702937732e-82,3.31679184071485e-82,176.099457940658
"CCAR2",3.726109492269,1.94405712640121,403.053508339957,3.75254916887756e-82,4.26531986276144e-82,175.841564922814
"SIRT5",3.71956651280039,1.94064339798281,677.283795255492,2.33155042518522e-92,2.77440137863416e-92,199.859887180994
"C9orf91",3.65976130563193,1.90944068119927,370.710046095552,1.65614513642705e-80,1.86931233220478e-80,171.970930214373
"SPECC1",3.65786821764966,1.90845298312157,447.786574473131,3.1971820383025e-84,3.66157163083652e-84,180.711803958967
"KIAA1161",3.6429772318943,1.90068377316225,378.465252001926,6.48645473770894e-81,7.33086400878075e-81,172.928938233529
"CEL",3.63860939808473,1.89840490334856,124.073202477302,5.27498941357163e-59,5.53945581123182e-59,121.367101032979
"SOWAHA",3.59126857959461,1.90253943204141,220.29872400258,2.81534023501712e-70,3.05952117429427e-70,147.895326400196
"TMEM171",3.58896684856907,1.87250444273169,345.117776150403,4.22272810771715e-79,4.7408542559033e-79,168.66101226558
"C1orf53",3.58441537503067,1.99422164569644,472.679087083384,2.76006859390803e-85,3.17615704154169e-85,183.21530464631
"NR2F6",3.56529297302609,2.38102345918913,505.856877516759,1.2791083326492e-86,1.48372299336822e-86,186.35454460744
"IGSF9",3.56250399699816,1.85869773756426,371.301992240809,1.5407313805986e-80,1.73932565270823e-80,172.044756798645
"MAK",3.55545985147582,1.85502253120477,251.151769813256,7.4744616190201e-73,8.20091607741651e-73,153.957423469102
"CYP3A4",3.55296570916651,1.85372123956514,228.825837348563,5.0493873827283e-71,5.50453673922129e-71,149.651608238158
"NXPE1",3.54362937738128,1.86489309674339,172.568915281662,1.76486764505496e-65,1.88697564632721e-65,136.605939041244
"ANKRD50",3.53022880811745,2.08253678315831,600.988936583414,5.2246563450707e-90,6.16218796194397e-90,194.329122694329
"PAK2",3.52770131930904,2.41721568035234,454.963646321689,1.55628496541099e-84,1.78469750156135e-84,181.447616330677
"MTHFD2L",3.52475036524423,2.14894462442656,404.679052459083,3.1273937442488e-82,3.5564834174172e-82,176.027813011495
"CASC5",3.5152571940469,1.83404723167664,270.271259766048,2.70061897246731e-74,2.9781326252042e-74,157.351215933648
"ROBO2",3.50020331258024,1.82619303265056,275.565665068932,1.12233615888567e-74,1.2402233670572e-74,158.248639109623
"ZNF41",3.48793544117716,1.81979240409243,381.733575429624,4.39476667868449e-81,4.97091858873975e-81,173.326814203208
"PHKA1",3.47511363503514,1.81310276610529,207.434749294237,4.28347334104574e-69,4.63543006748087e-69,145.113051538265
"ZNF711",3.46100075655046,1.80573952515676,156.874469746208,1.31539597959441e-63,1.39845033513217e-63,132.19970800789
"GTF3C6",3.42728067647987,2.66989137075812,441.036901722368,6.35960788951933e-84,7.27499806937283e-84,180.00897176803
"ADORA2B",3.41112887832954,2.13845264019698,383.07409401239,3.74980160839781e-81,4.24416021887994e-81,173.489021220008
"CCL24",3.40323524591502,1.77560099786871,341.143113469636,7.13414139601935e-79,8.00303585544742e-79,168.125047758081
"ZNF84",3.39998303457736,2.05861547695819,374.176564171327,1.08665082236892e-80,1.22751296600933e-80,172.401604375095
"SERPINB3",3.34877305129318,1.74718593980514,363.62071951665,3.96964584962961e-80,4.47623110723598e-80,171.07748984311
"INO80D",3.32332436082097,2.12940056993834,270.085017259986,2.7862063810038e-74,3.07202777445702e-74,157.319328256404
"C6orf15",3.28184747993425,2.0016043220916,351.785598959687,1.77561659873255e-79,1.99606172447239e-79,169.546432408257
"SERAC1",3.27344777442288,2.13957193163074,468.56659082804,4.09976396546711e-85,4.71313582672479e-85,182.810925536903
"CSTF1",3.26802813163827,2.21971982986112,518.085984658881,4.33664987933056e-87,5.04298716736868e-87,187.45997397448
"SNRPE",3.24639941762874,2.88974428880225,417.018575881758,8.02716975539929e-83,9.14347886634672e-83,177.417708905464
"ANG",3.24426948306393,2.48531100070999,422.690378961544,4.35434357149106e-83,4.96639416043116e-83,178.042832847756
"SHISA9",3.23569615478719,1.68818929814984,421.882924622546,4.74811991268038e-83,5.41463198963257e-83,177.954352072769
"S100A3",3.1864070704551,2.0615879223968,290.63975749328,1.0073510214867e-75,1.11670954940516e-75,160.71244653119
"KIAA0513",3.18051749580798,2.20747265806717,351.07507745689,1.94581203486442e-79,2.18668016975552e-79,169.45288424892
"CSE1L",3.17910149306925,2.40533089499626,600.490804078963,5.42456469739969e-90,6.39688365367432e-90,194.290749664618
"OMA1",3.17856772683925,2.25610184338135,486.616460388583,7.40404923951224e-86,8.54285024250342e-86,184.560063895909
"IKZF2",3.1422058066765,1.99790340681127,205.155719130617,7.06088913143827e-69,7.63630218040774e-69,144.602227446031
"MMRN2",3.14047126360219,2.02653923339279,264.143389127936,7.62541312705653e-74,8.39568126750335e-74,156.29033002453
"CLDN4",3.13754221098243,3.24942543130916,477.548660213466,1.73527714503458e-85,1.99885990832706e-85,183.689602840416
"SH3D19",3.12892928251269,2.51528424736028,439.941333219343,7.11767579636635e-84,8.13950295805486e-84,179.893878636494
"TLR7",3.10165861427081,1.61825666831521,7282.85388016009,4.48728631062312e-139,3.75506486210267e-138,309.401415620453
"COPG1",3.098970829362,2.44012925039587,361.526138868637,5.1563087662336e-80,5.81056087512372e-80,170.810184321079
"PPA2",3.08879717090916,2.66178084589694,402.737963602606,3.88800194159172e-82,4.41855948714313e-82,175.805324112775
"DSTN",3.08377735670927,3.06020505872409,399.50296553283,5.60155964895625e-82,6.3597135998109e-82,175.432133860061
"DAP3",3.07811808000878,2.65422782020311,404.424193283085,3.21788127622985e-82,3.6587878343529e-82,175.99866179103
"PPM1L",3.07235516446955,2.08440817697195,180.764629358444,2.16472135481842e-66,2.32234993850776e-66,138.750553340658
"TNNI3K",3.04892409777591,1.59074300753526,272.525491647561,1.85435772133007e-74,2.0458834831238e-74,157.735445181195
"RERE",2.98219266658901,2.34608312073659,387.512244096936,2.22593782367593e-81,2.52144838342441e-81,174.022031705586
"PER2",2.96878283066531,2.40991838410185,364.900197301951,3.38600918026721e-80,3.81935244762015e-80,171.2400177654
"MMP3",2.95543036667398,2.5389977015912,325.883217930149,5.66338955816261e-78,6.32458824272728e-78,166.007683687474
"DEGS1",2.95310349915603,2.581947982194,381.917530819756,4.29994395423928e-81,4.86445587404912e-81,173.349107063058
"CHD2",2.9465082953032,2.62956771236054,386.153541612428,2.60961316327155e-81,2.95461575014496e-81,173.859505804251
"REN",2.94221293860762,1.53506762014311,252.317412406435,6.06134664498803e-73,6.65360766681085e-73,154.171603036854
"B3GNT6",2.9405755469421,1.97046136863115,318.94202256963,1.50091406975664e-77,1.67426314422324e-77,165.011569853764
"SH3TC2",2.94036572035165,1.98293872433033,197.975874374011,3.53811277655431e-68,3.81872361448994e-68,142.955095671081
"SLC25A30",2.90906408814475,2.30585366611866,395.903727793089,8.43844046438924e-82,9.57430494197467e-82,175.013358358202
"EXOSC4",2.85503985048725,2.61478238579983,342.656579794332,5.83860184349412e-79,6.55076431423978e-79,168.329863645398
"AQP8",2.83315371545724,2.02253618220051,281.132319230662,4.53926930528065e-75,5.02164790787808e-75,159.17382333528
"HNRNPU-AS1",2.82895244146144,2.33774463122188,200.740668694168,1.88928692489674e-68,2.04039466931697e-68,143.59631899259
"GOT1",2.82516339064459,2.56421049965816,458.237978970635,1.12479385816429e-84,1.29094182037869e-84,181.779463218541
"CALML4",2.81289331464328,2.24037405230754,265.72746192532,5.81750755563168e-74,6.40718206237927e-74,156.566909724297
"ZMYND19",2.81004967379437,2.45432086480274,448.766180520556,2.89598020261933e-84,3.31773415634511e-84,180.812927693035
"PDCD11",2.80202276100177,2.43868148179681,509.627600322261,9.13826864045528e-87,1.06107063158668e-86,186.69821650095
"ANO5",2.79987499528285,1.88980546713733,255.243053005055,3.59731292862427e-73,3.95317858812471e-73,154.704848979162
"KIAA1147",2.78675044792767,2.49071075609352,400.115560041146,5.22613666049597e-82,5.93541635425265e-82,175.503034216049
"LAMP2",2.78377855154671,2.83239195929402,368.80943414832,2.09008964912609e-80,2.35834551679747e-80,171.733089939853
"CMTM7",2.77751778931418,2.65737159155206,173.420358327827,1.41270168338159e-65,1.51067622731595e-65,136.833415758498
