"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"IGKC",5.21443719191694,2.72057592621754,20396.7834474202,2.49962946683191e-161,7.85906228276198e-159,358.579066193187
"MALAT1",5.12461950399228,2.67371452382206,21214.2106394197,4.11699884481922e-162,1.67513417703615e-159,360.152049584281
"B2M",4.98068499403648,2.59861825775816,16434.0368699394,5.05952439306294e-157,7.95380232427644e-155,349.642370551105
"FTH1",4.93399178078701,2.57425658128018,18791.1990633585,1.07708783995472e-159,2.75933947739511e-157,355.241419732544
"TPSAB1",4.87034768964852,2.54105096851228,13998.1140936704,7.98343869475566e-154,6.27516425586646e-152,342.749077836664
"EEF1A1",4.85325576399199,2.53213344208278,14545.5973709319,1.37214573950329e-154,1.43805031517337e-152,344.413999979025
"IGHM",4.84131133200444,2.52590156452406,13402.1911811402,5.88050334052785e-153,3.56802119354659e-151,340.850013389078
"RPS27",4.75644257324501,2.48162221212784,12276.1338172796,3.30264231222666e-151,1.05273626145953e-149,336.986327415337
"RPS23",4.74766577033797,2.47704301061112,18564.371379506,1.8807877179475e-159,4.48600298104926e-157,354.74105469569
"RPS15A",4.74598781546971,2.47616755589724,17193.3946206276,6.36310793381505e-158,1.07350286776094e-155,351.547400926127
"CD74",4.74015845300916,2.47312614939609,14803.9614084209,6.11547459903547e-155,6.93454718057841e-153,345.174787954326
"RPS24",4.72060139042203,2.46292246456802,12001.0186095865,9.34716283615601e-151,2.72803060496587e-149,335.981983611833
"EIF1",4.69779035144814,2.45102105292946,12492.4073222831,1.48159969024106e-151,5.36556285727615e-150,337.758441189335
"RPL35A",4.69674973761032,2.45047812397061,13362.4592983119,6.73905134712685e-153,3.99890722130239e-151,340.719999398993
"LGALS1",4.69470545184684,2.44941154009401,13160.5689092736,1.35543350260178e-152,6.99666681902723e-151,340.052529606652
"S100A6",4.68837999777434,2.44611130318662,10745.2549761744,1.49262280580735e-148,2.22453831506486e-147,331.0508283415
"RPS29",4.68200387632563,2.44278463112642,13180.8179692893,1.26307966284661e-152,6.79134571220753e-151,340.119995288802
"HLA-DRA",4.67356283359586,2.43838060883263,12722.5408354659,6.4098448337466e-152,2.51914185880825e-150,338.563813686277
"RPL37A",4.6725661033905,2.437860575682,18699.2430576651,1.349086689476e-159,3.33272593968054e-157,355.039481314633
"VIM",4.66611448861469,2.43449451579897,11332.3204646211,1.29885134578973e-149,2.56690135966501e-148,333.430712085206
"JUN",4.63896935171885,2.4203318356794,14173.2430301198,4.51172624702048e-154,3.90095130633009e-152,343.289674452664
"RPL31",4.63766046623988,2.41964893890776,16386.9801987319,5.77125730436827e-157,8.87106372762563e-155,349.520860104496
"RGS1",4.61827576819737,2.40953518340732,11345.2849127003,1.23244430739594e-149,2.45671967557858e-148,333.481735335609
"NACA",4.61545504650037,2.40806350252193,12398.8591788014,2.09202903078526e-151,7.05881210045933e-150,337.426309959378
"S100A4",4.61126925156955,2.40587960951455,12317.1150639305,2.8341731355627e-151,9.24715829183358e-150,337.133791941175
"NFKBIA",4.61100743913363,2.4057430117219,14107.6405772848,5.58244608523094e-154,4.65226259898102e-152,343.088070831108
"CXCL8",4.60103341430843,2.40053917268266,11585.7668269255,4.7059316616291e-150,1.10717446610505e-148,334.416739038425
"TIMP1",4.59468949586209,2.39722930218892,12435.274048233,1.82855387655545e-151,6.26143919016537e-150,337.555927765568
