1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
A1CF,1.5257420539855957,1.511641502380371,1.4958691596984863,1.474892497062683,1.5564550161361694,1.4990959167480469,1.4340906143188477,1.5150773525238037,1.514438271522522,1.4819990396499634,1.5543060302734375,1.458929181098938,1.539482593536377,1.5344407558441162,1.4945015907287598,1.524003267288208,1.496207594871521,1.549945592880249,1.5302379131317139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2M,5.125229358673096,5.252816200256348,5.311115264892578,5.081273078918457,5.250801086425781,5.345794677734375,5.084323406219482,5.3144850730896,5.258493900299072,5.282854080200195,5.274592399597168,5.000834941864014,5.157413482666016,5.16941499710083,5.283767223358154,5.175483703613281,5.390130519866943,5.17479133605957,5.2487287521362305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADAT,1.5501283407211304,1.5301125049591064,1.5454318523406982,1.5399799346923828,1.567955732345581,1.5522698163986206,1.5276782512664795,1.5429623126983643,1.5405018329620361,1.5350775718688965,1.5754926204681396,1.5373361110687256,1.5310763120651245,1.5731170177459717,1.530181646347046,1.5416557788848877,1.5564568042755127,1.5543241500854492,1.542635440826416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAED1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAK1,4.3483734130859375,4.358574867248535,4.449095726013184,4.347810745239258,4.352299690246582,4.345935821533203,4.363515853881836,4.432337760925293,4.385846138000488,4.342436790466309,4.3440985679626465,4.325006008148193,4.326969623565674,4.323899269104004,4.333802223205566,4.346548080444336,4.364752769470215,4.331064224243164,4.411857604980469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AASDHPPT,3.965651512145996,4.007254600524902,3.96759295463562,3.9475553035736084,4.00693416595459,3.954826593399048,3.8859660625457764,4.027485370635986,3.9990906715393066,3.9875550270080566,3.994413137435913,3.941944122314453,3.9747941493988037,3.981462001800537,4.00357723236084,3.9851670265197754,3.986926555633545,3.9949612617492676,3.9574618339538574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABAT,2.3151583671569824,2.3746185302734375,2.374403953552246,2.3179774284362793,2.3691067695617676,2.429839849472046,2.236194610595703,2.359023332595825,2.3353991508483887,2.372897148132324,2.369556427001953,2.2725586891174316,2.3735616207122803,2.4037585258483887,2.336811065673828,2.398944139480591,2.3921051025390625,2.326930284500122,2.4055442810058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA1,4.180727481842041,4.164908409118652,4.112903594970703,4.207101821899414,4.132494926452637,3.996042251586914,4.313507556915283,4.183281421661377,4.121366500854492,3.9998586177825928,4.062234401702881,4.20177698135376,4.203814506530762,4.1432600021362305,4.115046501159668,4.136468887329102,4.144550323486328,4.215888500213623,3.9984471797943115,25.78661346435547,25.87216567993164,25.837020874023438,25.865230560302734,25.861509323120117,25.87451171875,25.78257179260254,25.794837951660156,25.805789947509766,25.894685745239258,25.768388748168945,25.818313598632812,25.82659339904785,25.802364349365234,25.792526245117188,25.892635345458984,25.905635833740234,25.774415969848633,25.784595489501953,25.85898208618164,25.8541316986084,25.868328094482422,25.89554214477539
ABCA5,3.1452114582061768,3.074678659439087,3.090773344039917,3.157466411590576,3.1183815002441406,3.108431339263916,3.1485419273376465,3.0985567569732666,3.1427254676818848,3.139606475830078,3.132437229156494,3.1966633796691895,3.1727969646453857,3.171590805053711,3.1152782440185547,3.1565444469451904,3.083099365234375,3.1251862049102783,3.105151653289795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA8,1.2837176322937012,1.23807954788208,1.2641663551330566,1.2565603256225586,1.2567672729492188,1.315167784690857,1.3527214527130127,1.2761260271072388,1.1986896991729736,1.2915127277374268,1.2755547761917114,1.12222158908844,1.2324864864349365,1.2568068504333496,1.3117057085037231,1.1751079559326172,1.3492562770843506,1.173111915588379,1.2656233310699463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
