1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
A1CF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3930158615112305,4.371304035186768,4.38294792175293,4.38052225112915,4.364500045776367,4.38150691986084,4.411351203918457,4.394297122955322,4.3780083656311035,4.38236665725708,4.372533321380615,4.3648681640625,4.374893665313721,4.369155406951904,4.388253211975098,4.396456718444824,4.380328178405762,4.363270282745361,4.374876976013184,4.379405498504639,4.37821102142334,4.385617256164551,4.3957977294921875
A2M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.972492218017578,9.98796558380127,9.98216438293457,9.963985443115234,9.959869384765625,9.96778678894043,9.981325149536133,9.967071533203125,10.009262084960938,9.969637870788574,9.952282905578613,9.974621772766113,10.03053092956543,9.99261474609375,9.996294021606445,9.970373153686523,9.981182098388672,9.946932792663574,9.936418533325195,9.95792007446289,9.98615550994873,9.993118286132812,9.944999694824219
AADAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.861780881881714,3.8706777095794678,3.8576159477233887,3.8349661827087402,3.846482992172241,3.849515438079834,3.8627166748046875,3.858469247817993,3.8539719581604004,3.8317766189575195,3.8636631965637207,3.866346836090088,3.849424362182617,3.842278003692627,3.852492332458496,3.8892056941986084,3.87178373336792,3.8407323360443115,3.8717994689941406,3.8533387184143066,3.872239589691162,3.880680561065674,3.8624939918518066
AAED1,37.978275299072266,38.01933670043945,38.04364013671875,38.04193878173828,38.045013427734375,38.09132385253906,38.036712646484375,38.06485366821289,38.03999328613281,38.017578125,38.08658981323242,37.98300552368164,37.92894744873047,37.994911193847656,38.035743713378906,38.02734375,38.066566467285156,38.05635070800781,38.02149200439453,7.8451995849609375,7.813371181488037,7.854396820068359,7.833866119384766,7.8552141189575195,7.832093238830566,7.866629600524902,7.824620246887207,7.79622745513916,7.806208610534668,7.82982873916626,7.818467140197754,7.832782745361328,7.835172653198242,7.828915596008301,7.860673427581787,7.856688022613525,7.84404182434082,7.835593223571777,7.873488426208496,7.823111534118652,7.830748558044434,7.831438064575195
AAK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.195252895355225,7.156976699829102,7.19713020324707,7.195785045623779,7.213151931762695,7.181028842926025,7.157678604125977,7.167981147766113,7.168285846710205,7.17695951461792,7.1586103439331055,7.154933929443359,7.1802897453308105,7.151212215423584,7.169031143188477,7.161474227905273,7.168337821960449,7.176499843597412,7.177582740783691,7.181897163391113,7.177567958831787,7.190317153930664,7.2114996910095215
AASDHPPT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.029153823852539,6.036715030670166,6.048912048339844,6.038904190063477,6.051231384277344,6.036416053771973,6.029244422912598,6.024231910705566,6.035299301147461,6.029581546783447,6.038349151611328,6.031190872192383,6.0502166748046875,6.034070014953613,6.037257194519043,6.0693440437316895,6.045437812805176,6.025250434875488,6.0162153244018555,6.04567813873291,6.0278167724609375,6.043879508972168,6.028404235839844
ABAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6010589599609375,3.6125006675720215,3.6064891815185547,3.6163086891174316,3.612156391143799,3.587254524230957,3.5862302780151367,3.589543342590332,3.59248685836792,3.605919361114502,3.6009409427642822,3.5825281143188477,3.6163787841796875,3.584868907928467,3.612623691558838,3.6055731773376465,3.61318302154541,3.606058359146118,3.6024484634399414,3.6078100204467773,3.593863010406494,3.609607219696045,3.6244444847106934
ABCA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.612523555755615,6.622169494628906,6.636837005615234,6.628168106079102,6.6257524490356445,6.613045692443848,6.5981292724609375,6.569641590118408,6.603663444519043,6.620298385620117,6.607608318328857,6.614023208618164,6.649733543395996,6.607015132904053,6.613854885101318,6.632228851318359,6.61480712890625,6.600295066833496,6.600029945373535,6.607485294342041,6.610526084899902,6.620957374572754,6.624813079833984
ABCA8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.882007122039795,3.8758628368377686,3.8845157623291016,3.891340970993042,3.891303300857544,3.891615152359009,3.903196334838867,3.896604537963867,3.8918468952178955,3.888972282409668,3.892415761947632,3.8686039447784424,3.8684568405151367,3.878349781036377,3.878922700881958,3.905714988708496,3.895761489868164,3.8873414993286133,3.890082597732544,3.8919358253479004,3.891726493835449,3.9032697677612305,3.8917369842529297
