"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PHF5A",-5.80632487470165,3.1796540980509,-8829.42628086229,4.86408628260922e-134,1.71750886638932e-130,289.054750800877
"CR2",-5.74613222256598,3.1466914552147,-8927.54100671981,3.04915672811397e-134,1.71750886638932e-130,289.340897043074
"SERPINA3",-5.63331877407506,3.08491266199349,-8606.65099413217,1.43223919338701e-133,3.37149106123301e-130,288.383369677441
"IER3IP1",-5.56662820860102,3.04839163804341,-8526.42719866017,2.12760759731971e-133,3.75629121306796e-130,288.133971149015
"PCYT2",-5.47453687997556,2.99796067236757,-8225.02348308808,9.73673750592085e-133,6.87608402668131e-130,287.15892840018
"GTPBP8",-5.43697083784191,2.97738879215152,-8231.56404586001,9.41509405865401e-133,6.87608402668131e-130,287.180746360604
"CCDC117",-5.42361636946442,2.97007563089718,-8405.35760485433,3.89371458349517e-133,5.49948247772858e-130,287.749659217416
"CWH43",-5.40696315237105,2.96095601201272,-8303.55809477158,6.51632633859634e-133,6.87608402668131e-130,287.418932861305
"OTC",-5.39857746536233,2.95636385007937,-8185.07256334068,1.19612638448476e-132,7.67913138839217e-130,287.025006183348
"USB1",-5.36666491031349,2.93888792707644,-8044.82218676004,2.48304433996192e-132,1.09595369555069e-129,286.545810963243
"PXMP4",-5.34463986438633,2.92682659240204,-8138.25642515379,1.52424142260468e-132,8.97016077202856e-130,286.866627814758
"PCDH19",-5.34084178643666,2.92474669257246,-7774.16782953413,1.0545710029432e-131,3.72369021139243e-129,285.579569791829
"DNTTIP1",-5.32365709461743,2.91533602800478,-7924.56699857216,4.69249128160802e-132,1.94931608415976e-129,286.12340552272
"FTX",-5.32028710462649,2.91349055729546,-8089.35308601923,1.96640373189723e-132,9.9191022533273e-130,286.699505584085
"C12orf56",-5.29031469757501,2.89707709629108,-8250.37714244638,8.54921764366778e-133,6.87608402668131e-130,287.243335910952
"DNAJB6",-5.27296976820609,2.88757868258905,-7884.27896183343,5.82034291604074e-132,2.16332956174104e-129,285.979445191674
"SNN",-5.25149015606355,2.87581603784432,-8117.7404597956,1.69581917368835e-132,9.21221154199009e-130,286.796727214992
"EFCAB7",-5.21975973265513,2.85843985359686,-7172.26899300604,3.17734690283527e-130,6.79952237206749e-128,283.215506226285
