"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CCDC152",-2.50598965993273,1.37232767091554,-1286.248667002,4.17303353768496e-96,9.09863979028576e-95,209.992585690652
"SGTB",-2.49668886044201,1.36723437595634,-1586.66511422582,7.59776620633067e-100,3.17736091677861e-98,217.974527596033
"MYO19",-2.48411847298189,1.36035059234723,-1505.13775948281,6.61469083190532e-99,2.290598594415e-97,215.999371784464
"CCT6B",-2.43889653088906,1.33558619548687,-1545.82570323685,2.21449426289897e-99,8.60280436241919e-98,217.000975519472
"UTY",-2.3716181534006,1.29874327448128,-2104.85092298068,7.006759339135e-105,2.43739678283637e-102,228.102742353187
"MMP1",-2.37019184836172,1.29796220267427,-2099.8744018546,7.72131566486672e-105,2.56918386014022e-102,228.021624230491
"GPR19",-2.34173855417591,1.28238063681062,-1620.08120537847,3.23113246444342e-100,1.56272780597353e-98,218.748511701991
"FPR1",-2.33516795181372,1.27878244980275,-1805.19305200288,3.81725807098333e-102,4.11457408693457e-100,222.702247131098
"GMFG",-2.31295093368893,1.26661598749632,-2181.87262976379,1.6040010402429e-105,6.49916738153432e-103,229.325483557115
"FLNA",-2.30388942213096,1.26165373116695,-1320.77490205365,1.40772674648281e-96,3.26464630025242e-95,211.016649484165
"SOCS2",-2.30047913441019,1.2597861926532,-1000.29976810773,1.25895709271325e-91,1.8528458904874e-90,200.085350955314
"PIGN",-2.28490114247347,1.25125538754499,-2113.64002957677,5.90576107442971e-105,2.15222807155288e-102,228.245366329687
"ADAMTS1",-2.27943491742138,1.2482619785879,-1140.70318483669,5.7535168859908e-94,1.00071965292017e-92,205.299486390722
"CTPS2",-2.26522298393093,1.24047925310504,-1664.15166795087,1.07441275456004e-100,6.32498523895999e-99,219.739579744012
"L3MBTL1",-2.2586620410064,1.23688635578922,-1067.8993247561,8.60880292967877e-93,1.36971244949754e-91,202.690802988131
"FRA10AC1",-2.25294829188509,1.23375739793707,-1785.78200654435,5.94797973641599e-102,5.98945906878836e-100,222.312286867306
"CEP78",-2.23854486269771,1.22586980576303,-1209.88942748048,5.13847223838094e-95,9.93048687887105e-94,207.610601287031
"LETMD1",-2.2335407734754,1.22312947118891,-1568.1943909167,1.22831410177199e-99,4.94751990571635e-98,217.538055336465
"CDKAL1",-2.2332741985435,1.22298348967859,-1165.34919494109,2.39383169728228e-94,4.30046807025852e-93,206.140525649035
"CDC27",-2.22312977112464,1.21742820799683,-1995.9317628455,6.19702955772118e-104,1.39487844721295e-101,226.265226250063
"ERRFI1",-2.21944658645568,1.21541122591621,-1376.2887245966,2.60003697805807e-97,6.54542203719684e-96,212.599492948652
"LCOR",-2.21389847609971,1.21237297500698,-1494.97161886152,8.73486096441028e-99,2.89384809353385e-97,215.743990248846
"REG1A",-2.21105808754155,1.2108175241299,-2071.77971538669,1.34175731251257e-104,4.27852863027446e-102,227.558698304204
"PLEKHB1",-2.20993613199084,1.21020311989975,-1512.54264973041,5.40843469905616e-99,1.8986582913705e-97,216.184080868564
"TRPM6",-2.20798831137634,1.2091364562299,-2274.66196663081,2.90519079472203e-106,1.48222834346718e-103,230.721016579809
"MT1HL1",-2.2071460860899,1.31461672075641,-25.5202302827283,8.5406062299354e-27,8.75100541942637e-27,48.2455386995959
