"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ERVH-1",2.74656233563565,1.24249248516851,192.252085333214,1.82864405995309e-63,3.27796507149865e-62,135.390258491662
"SERPINA3",2.53567556155536,1.14709132546552,84.7652125456601,1.42053940273511e-48,3.31932855124881e-48,100.690538981603
"CWH43",2.49127680569126,1.12700617400319,128.074615848695,4.52859840895352e-56,1.93325374682625e-55,118.23647815719
"TMEFF2",2.43212334881332,1.10024627684413,100.692119787955,1.06658546058901e-51,3.02570258743941e-51,108.015294793374
"OTC",2.31327148048924,1.04647995545942,68.4159037932343,1.076351469023e-44,2.13925212202789e-44,91.5804697483691
"SRXN1",2.29927097804098,1.04014639482807,195.423800126558,9.20645531939123e-64,1.85995279763377e-62,136.076446960795
"C12orf56",2.29789799484463,1.0395252833821,60.7012679650596,1.55625301733637e-42,2.88445110453493e-42,86.5028617226548
"SLC30A2",2.22567260222612,1.00685189148324,155.315631393989,1.40252758403596e-59,1.04421251899092e-58,126.404373696891
"CXCR2",2.20655747733827,0.998204573081601,102.044168345024,6.10598787935294e-52,1.76088963727481e-51,108.58258690773
"FBXL16",2.18871369522921,0.990132385937027,69.9592093639704,4.25272473692861e-45,8.6079386429844e-45,92.5280935746482
"ALDH3A1",2.02870417135072,0.917747125134849,110.451390977586,2.22549026017765e-53,7.22655938089833e-53,111.948846231392
"CNGA1",2.01766772443669,0.912754446768981,156.727114507769,9.59911059889526e-60,7.43558048981783e-59,126.786659820439
"ERN2",2.01300659598427,0.910645841040507,213.371807004006,2.30960723598102e-65,7.28239688820599e-64,139.751988438397
"AUNIP",2.01212040497115,0.910244945105998,115.189915543101,3.83657884777594e-54,1.34388129742855e-53,113.734085567312
